# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.615772e-02   1.973211e-10   2.845059e-05   1.176531e-11   336
  1.631123e-02   1.715659e-10   2.177217e-05   1.672226e-11   72
  1.641475e-02   2.077280e-10   3.482167e-05   1.073742e-11   288
  1.653492e-02   1.647067e-10   2.267827e-05   8.938257e-12   264
  1.670276e-02   1.688067e-10   2.982752e-05   8.130802e-12   384
  1.685310e-02   1.886401e-10   3.580078e-05   9.710622e-12   240
  1.691557e-02   1.842621e-10   0.000000e+00   2.194685e-11   48
  1.709627e-02   1.685445e-10   2.930528e-05   7.840490e-12   392
  1.723414e-02   1.777117e-10   3.216108e-05   8.875826e-12   294
  1.738238e-02   1.543321e-10   2.090302e-05   9.177100e-12   228
  1.747988e-02   1.928242e-10   3.174430e-05   1.480963e-11   216
  1.760118e-02   1.685190e-10   1.933643e-05   9.594488e-12   336
  1.774967e-02   1.641307e-10   2.297485e-05   8.152271e-12   360
  1.787226e-02   1.618020e-10   3.500383e-05   1.054731e-11   240
  1.799999e-02   1.788174e-10   4.141755e-05   1.383751e-11   168
  1.811913e-02   1.527357e-10   3.260065e-05   8.516662e-12   312
  1.826108e-02   1.844959e-10   2.040262e-05   9.477870e-12   336
  1.841443e-02   1.567467e-10   2.783296e-05   7.520443e-12   294
  1.853004e-02   1.661537e-10   3.709565e-05   8.737377e-12   288
  1.861852e-02   1.314491e-10   2.321198e-05   6.742419e-12   264
  1.877628e-02   1.585961e-10   3.987223e-05   6.836143e-12   480
  1.890819e-02   1.450341e-10   1.950536e-05   8.317042e-12   240
  1.906991e-02   1.432770e-10   1.972335e-05   7.083902e-12   276
  1.919750e-02   1.522855e-10   4.329664e-05   7.139658e-12   488
  1.934908e-02   1.552514e-10   1.906876e-05   9.588225e-12   240
  1.943706e-02   1.472296e-10   3.702663e-05   7.756859e-12   360
  1.956043e-02   1.481613e-10   1.317352e-05   8.841649e-12   198
  1.971909e-02   1.524469e-10   4.451384e-05   6.330637e-12   480
  1.983526e-02   1.356527e-10   1.643028e-05   7.214748e-12   288
  1.999593e-02   1.274938e-10   3.472986e-05   5.720954e-12   480
  2.014040e-02   1.399779e-10   2.139799e-05   5.924487e-12   480
  2.028877e-02   1.447193e-10   2.767474e-05   8.914756e-12   288
