# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
     73   6.794501e+00   1.783352e-01   1.332116e+00   0.000000e+00   0.000000e+00
     74   6.935157e+00   1.855426e-01   1.306961e+00   0.000000e+00   0.000000e+00
     75   7.078520e+00   1.930416e-01   1.282405e+00   0.000000e+00   0.000000e+00
     76   7.224629e+00   2.008442e-01   1.258448e+00   0.000000e+00   0.000000e+00
     77   7.373519e+00   2.089627e-01   1.235089e+00   0.000000e+00   0.000000e+00
     78   7.525225e+00   2.174098e-01   1.212329e+00   0.000000e+00   0.000000e+00
     79   7.679778e+00   2.261992e-01   1.190171e+00   0.000000e+00   0.000000e+00
     80   7.837210e+00   2.353446e-01   1.168617e+00   0.000000e+00   0.000000e+00
     81   7.997545e+00   2.448607e-01   1.147673e+00   0.000000e+00   0.000000e+00
     82   8.160806e+00   2.547627e-01   1.127345e+00   0.000000e+00   0.000000e+00
     83   8.327011e+00   2.650663e-01   1.107642e+00   0.000000e+00   0.000000e+00
     84   8.496172e+00   2.757881e-01   1.088574e+00   0.000000e+00   0.000000e+00
     85   8.668297e+00   2.869453e-01   1.070152e+00   0.000000e+00   0.000000e+00
     86   8.843384e+00   2.985557e-01   1.052391e+00   0.000000e+00   0.000000e+00
     87   9.021427e+00   3.106382e-01   1.035306e+00   0.000000e+00   0.000000e+00
     88   9.202407e+00   3.232122e-01   1.018915e+00   0.000000e+00   0.000000e+00
     89   9.386299e+00   3.362981e-01   1.003240e+00   0.000000e+00   0.000000e+00
     90   9.573064e+00   3.499174e-01   9.883030e-01   0.000000e+00   0.000000e+00
     91   9.762652e+00   3.640921e-01   9.741300e-01   0.000000e+00   0.000000e+00
     92   9.954999e+00   3.788456e-01   9.607495e-01   0.000000e+00   0.000000e+00
     93   1.015002e+01   3.942022e-01   9.481927e-01   0.000000e+00   0.000000e+00
     94   1.034763e+01   4.101872e-01   9.364939e-01   0.000000e+00   0.000000e+00
     95   1.054771e+01   4.268271e-01   9.256900e-01   0.000000e+00   0.000000e+00
     96   1.075012e+01   4.441499e-01   9.158209e-01   0.000000e+00   0.000000e+00
     97   1.095471e+01   4.621844e-01   9.069296e-01   0.000000e+00   0.000000e+00
     98   1.116131e+01   4.809610e-01   8.990617e-01   0.000000e+00   0.000000e+00
     99   1.136972e+01   5.005116e-01   8.922655e-01   0.000000e+00   0.000000e+00
    100   1.157971e+01   5.208693e-01   8.865920e-01   0.000000e+00   0.000000e+00
    101   1.179105e+01   5.420689e-01   8.820942e-01   0.000000e+00   0.000000e+00
    102   1.200346e+01   5.641467e-01   8.788273e-01   0.000000e+00   0.000000e+00
    103   1.221667e+01   5.871405e-01   8.768483e-01   0.000000e+00   0.000000e+00
    104   1.243035e+01   6.110902e-01   8.762152e-01   0.000000e+00   0.000000e+00
    105   1.264420e+01   6.360370e-01   8.769871e-01   0.000000e+00   0.000000e+00
    106   1.285785e+01   6.620241e-01   8.792236e-01   0.000000e+00   0.000000e+00
    107   1.307096e+01   6.890967e-01   8.829841e-01   0.000000e+00   0.000000e+00
    108   1.328316e+01   7.173016e-01   8.883276e-01   0.000000e+00   0.000000e+00
    109   1.349408e+01   7.466879e-01   8.953123e-01   0.000000e+00   0.000000e+00
    110   1.370336e+01   7.773063e-01   9.039950e-01   0.000000e+00   0.000000e+00
    111   1.391063e+01   8.092100e-01   9.144313e-01   0.000000e+00   0.000000e+00
    112   1.411553e+01   8.424539e-01   9.266747e-01   0.000000e+00   0.000000e+00
    113   1.431773e+01   8.770954e-01   9.407769e-01   0.000000e+00   0.000000e+00
    114   1.451690e+01   9.131941e-01   9.567877e-01   0.000000e+00   0.000000e+00
    115   1.471273e+01   9.508117e-01   9.747551e-01   0.000000e+00   0.000000e+00
    116   1.490495e+01   9.900124e-01   9.947253e-01   0.000000e+00   0.000000e+00
    117   1.509332e+01   1.030863e+00   1.016743e+00   0.000000e+00   0.000000e+00
