# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.047049e-01   9.725204e-13   4.350048e-04   8.038922e-14   104
  2.059331e-01   1.041107e-12   3.746387e-09   9.043533e-14   144
  2.087224e-01   1.366963e-12   6.282881e-09   1.562904e-13   96
  2.096439e-01   9.373861e-13   0.000000e+00   9.682230e-14   96
  2.111095e-01   7.509580e-13   4.475232e-04   5.936107e-14   120
  2.123845e-01   9.704692e-13   0.000000e+00   8.522764e-14   120
  2.132902e-01   1.004474e-12   0.000000e+00   8.432904e-14   72
  2.150901e-01   1.559614e-12   0.000000e+00   2.327748e-13   48
  2.159845e-01   7.242485e-13   4.235416e-09   6.977391e-14   78
  2.171286e-01   7.960279e-13   4.007142e-04   5.542918e-14   168
  2.195255e-01   9.258261e-13   3.746387e-09   1.104667e-13   144
  2.204018e-01   1.060538e-12   3.746387e-09   7.782955e-14   144
  2.229436e-01   9.324260e-13   2.307791e-04   6.745411e-14   156
  2.238729e-01   6.917625e-13   4.866699e-09   8.204392e-14   48
  2.247323e-01   8.044170e-13   3.178914e-09   7.493045e-14   120
  2.255884e-01   8.697097e-13   0.000000e+00   1.302675e-13   48
  2.271022e-01   7.702827e-13   3.532495e-04   4.909421e-14   216
  2.289809e-01   7.312932e-13   0.000000e+00   1.155268e-13   48
  2.298212e-01   6.979233e-13   2.809790e-09   6.964002e-14   96
  2.310160e-01   7.720721e-13   4.128272e-04   5.362398e-14   168
  2.323239e-01   8.110774e-13   2.809790e-09   1.083310e-13   48
  2.331522e-01   7.255005e-13   0.000000e+00   5.865882e-14   96
  2.339775e-01   4.842763e-13   0.000000e+00   5.871049e-14   48
  2.356194e-01   5.413483e-13   3.178914e-09   1.126830e-13   30
  2.364362e-01   7.748086e-13   2.809790e-09   5.801662e-14   96
  2.374123e-01   7.777724e-13   3.244455e-04   5.362282e-14   240
  2.386674e-01   6.463026e-13   3.500299e-04   7.875592e-14   32
  2.396752e-01   6.585401e-13   0.000000e+00   4.594725e-14   168
  2.404781e-01   6.728961e-13   0.000000e+00   5.400911e-14   120
  2.420760e-01   6.542424e-13   5.923557e-09   7.853069e-14   72
  2.428710e-01   6.302216e-13   3.746387e-09   4.765927e-14   144
  2.436634e-01   6.260423e-13   0.000000e+00   7.042919e-14   96
  2.444532e-01   6.250769e-13   0.000000e+00   6.686870e-14   96
  2.460253e-01   1.107748e-12   4.588368e-09   1.080727e-13   72
  2.468075e-01   5.869800e-13   3.973643e-09   6.747853e-14   96
  2.483647e-01   9.593841e-13   0.000000e+00   3.684731e-13   24
  2.491396e-01   6.804066e-13   0.000000e+00   4.243881e-14   192
  2.500522e-01   5.457192e-13   2.970416e-04   4.386814e-14   132
  2.514501e-01   5.777195e-13   0.000000e+00   4.888145e-14   96
  2.522156e-01   5.330784e-13   0.000000e+00   6.748359e-14   96
  2.529787e-01   5.198545e-13   3.178914e-09   6.243479e-14   120
  2.544981e-01   5.957659e-13   0.000000e+00   8.926656e-14   48
  2.557435e-01   6.723695e-13   3.599905e-04   4.294765e-14   222
  2.567603e-01   4.003225e-13   0.000000e+00   3.385534e-14   120
  2.575100e-01   4.459560e-13   4.866699e-09   1.006131e-13   24
  2.586015e-01   6.251460e-13   3.715625e-04   3.714291e-14   312
  2.609797e-01   5.970346e-13   3.483547e-04   6.688662e-14   72
  2.619630e-01   6.207969e-13   2.809790e-09   7.297852e-14   96
  2.629726e-01   5.040002e-13   3.547511e-04   3.992674e-14   192
  2.641613e-01   5.663477e-13   4.495664e-09   4.548497e-14   120
  2.648900e-01   5.781238e-13   0.000000e+00   5.120273e-14   144
  2.663415e-01   5.012367e-13   0.000000e+00   7.067849e-14   48
  2.673732e-01   5.202818e-13   3.567146e-04   2.562201e-14   336
  2.685040e-01   4.404289e-13   0.000000e+00   6.481866e-14   48
  2.699360e-01   4.302863e-13   0.000000e+00   3.539022e-14   192
  2.706492e-01   3.026099e-13   0.000000e+00   3.375595e-14   48
  2.726764e-01   3.668867e-13   2.476067e-04   3.856267e-14   56
  2.736844e-01   4.597962e-13   3.180112e-04   2.425613e-14   336
  2.748894e-01   4.438448e-13   3.532127e-09   5.496427e-14   54
  2.759390e-01   5.033615e-13   3.492904e-04   3.341987e-14   240
  2.781181e-01   3.581759e-13   3.344484e-04   2.024355e-14   228
  2.790651e-01   3.667420e-13   3.746387e-09   4.791300e-14   72
  2.799844e-01   4.205954e-13   3.244231e-04   3.215704e-14   144
  2.811298e-01   4.054087e-13   0.000000e+00   4.277697e-14   96
  2.818146e-01   3.918536e-13   4.495664e-09   2.265946e-14   240
  2.831793e-01   3.811475e-13   3.973643e-09   7.284503e-14   24
  2.840530e-01   3.930780e-13   3.064151e-04   2.298441e-14   336
  2.852142e-01   3.640420e-13   0.000000e+00   3.721630e-14   72
  2.862741e-01   4.305137e-13   3.332831e-04   3.355789e-14   168
  2.872346e-01   5.526671e-13   0.000000e+00   5.370011e-14   72
  2.885737e-01   4.866322e-13   0.000000e+00   4.738976e-14   96
  2.896108e-01   2.966930e-13   3.307829e-04   2.158827e-14   216
  2.905708e-01   3.461544e-13   3.973643e-09   4.862656e-14   96
  2.918946e-01   3.876955e-13   0.000000e+00   2.637121e-14   192
  2.925542e-01   4.704165e-13   3.746387e-09   3.683943e-14   144
  2.938691e-01   2.592306e-13   0.000000e+00   3.335064e-14   48
  2.947794e-01   3.790178e-13   3.189136e-04   2.361655e-14   246
  2.960164e-01   4.130993e-13   2.940434e-04   3.353745e-14   168
  2.971308e-01   3.984145e-13   5.506041e-09   4.240651e-14   120
  2.977788e-01   4.025362e-13   0.000000e+00   2.987180e-14   240
  2.990707e-01   5.593783e-13   3.973643e-09   8.582799e-14   24
  3.001001e-01   3.452078e-13   3.147475e-04   1.720652e-14   360
  3.013820e-01   4.004328e-13   3.134082e-04   3.437949e-14   120
  3.022763e-01   4.049573e-13   0.000000e+00   3.094159e-14   144
  3.029133e-01   4.900397e-13   0.000000e+00   5.574461e-14   96
  3.048165e-01   3.870676e-13   0.000000e+00   3.430543e-14   144
  3.054482e-01   3.558986e-13   0.000000e+00   2.791460e-14   132
  3.063360e-01   3.047976e-13   3.093292e-04   2.463075e-14   176
  3.076248e-01   2.815679e-13   3.123602e-04   1.596745e-14   312
  3.092116e-01   2.977923e-13   0.000000e+00   2.909874e-14   96
  3.098343e-01   3.072000e-13   0.000000e+00   2.268515e-14   144
  3.107899e-01   3.212219e-13   3.092271e-04   1.863420e-14   312
  3.123131e-01   1.610213e-13   0.000000e+00   2.726931e-14   48
  3.129297e-01   3.228912e-13   3.973643e-09   2.253432e-14   192
  3.141593e-01   1.924508e-13   0.000000e+00   1.023018e-14   6
  3.149762e-01   2.657032e-13   2.884066e-04   1.577124e-14   288
  3.162994e-01   2.787980e-13   3.047203e-04   1.670661e-14   192
  3.172124e-01   2.983598e-13   7.064254e-09   2.156976e-14   216
  3.178195e-01   3.005334e-13   0.000000e+00   3.226393e-14   72
  3.193321e-01   2.988332e-13   3.018264e-04   2.161699e-14   192
  3.203366e-01   2.809903e-13   2.241224e-04   1.817893e-14   288
  3.214381e-01   3.100265e-13   0.000000e+00   7.412406e-14   24
  3.222890e-01   2.505162e-13   2.952626e-04   1.199891e-14   456
  3.238280e-01   2.336574e-13   0.000000e+00   3.074570e-14   48
  3.247789e-01   2.700936e-13   2.908218e-04   1.575832e-14   240
  3.258718e-01   2.661750e-13   2.939082e-04   1.745764e-14   216
  3.267908e-01   3.013309e-13   0.000000e+00   3.226315e-14   72
  3.273801e-01   3.596875e-13   1.015467e-08   2.395729e-14   168
  3.290441e-01   2.350950e-13   2.184577e-04   1.519401e-14   288
  3.299773e-01   2.481485e-13   2.890570e-04   1.615301e-14   168
  3.314762e-01   2.016798e-13   0.000000e+00   1.716515e-14   192
  3.320572e-01   2.755389e-13   3.746387e-09   2.028719e-14   144
  3.332162e-01   3.468317e-13   0.000000e+00   4.209470e-14   36
  3.341991e-01   2.547785e-13   2.639705e-04   1.281989e-14   342
  3.351389e-01   3.050447e-13   2.710657e-04   2.656770e-14   144
  3.363470e-01   2.511724e-13   2.842800e-04   1.486503e-14   384
  3.378125e-01   2.232728e-13   7.786718e-09   1.888205e-14   120
  3.385379e-01   3.158349e-13   2.534951e-04   1.893605e-14   264
  3.395201e-01   2.353853e-13   1.256576e-08   1.854172e-14   192
  3.404451e-01   2.149909e-13   2.731894e-04   1.724500e-14   152
  3.412191e-01   2.752213e-13   3.746387e-09   2.608840e-14   144
  3.428472e-01   2.328463e-13   1.768108e-04   1.608730e-14   216
  3.436008e-01   2.593843e-13   2.362665e-04   1.448528e-14   312
