# power spectrum of B
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.023665e-17   0.000000e+00   2.873325e-18   6
  2.776802e-02   1.899156e-17   0.000000e+00   2.441888e-18   12
  3.400874e-02   1.238053e-17   3.725290e-10   4.548508e-18   8
  3.926991e-02   1.463804e-17   0.000000e+00   3.157624e-18   6
  4.390509e-02   2.462659e-17   0.000000e+00   3.349496e-18   24
  4.809562e-02   1.231206e-17   7.024475e-10   1.340517e-18   24
  5.553604e-02   1.077709e-17   0.000000e+00   1.441670e-18   12
  5.890486e-02   1.431547e-17   7.947286e-10   2.195673e-18   30
  6.209118e-02   1.458732e-17   0.000000e+00   1.596371e-18   24
  6.512178e-02   2.181170e-17   1.216675e-09   2.943595e-18   24
  6.801748e-02   1.421195e-17   7.450581e-10   3.292300e-18   8
  7.079483e-02   8.740097e-18   9.934107e-10   1.193812e-18   24
  7.346727e-02   1.355881e-17   0.000000e+00   1.263764e-18   48
  7.853982e-02   9.803977e-18   0.000000e+00   6.883503e-19   6
  8.095699e-02   1.072087e-17   1.404895e-09   1.103763e-18   48
  8.330406e-02   1.384474e-17   0.000000e+00   1.188472e-18   36
  8.558678e-02   6.812728e-18   9.934107e-10   1.107357e-18   24
  8.781018e-02   1.036985e-17   0.000000e+00   1.625225e-18   24
  8.997866e-02   8.349586e-18   0.000000e+00   6.625876e-19   48
  9.209610e-02   7.629582e-18   1.404895e-09   7.945958e-19   24
  9.619124e-02   7.368309e-18   1.404895e-09   1.045489e-18   24
  9.817477e-02   8.090376e-18   0.000000e+00   8.679227e-19   30
  1.001190e-01   7.934350e-18   0.000000e+00   6.784770e-19   72
  1.020262e-01   1.124314e-17   1.490116e-09   1.305461e-18   32
  1.057375e-01   8.295871e-18   0.000000e+00   6.046351e-19   72
  1.075451e-01   8.239694e-18   0.000000e+00   7.685382e-19   48
  1.110721e-01   2.566837e-18   0.000000e+00   4.461437e-19   12
  1.127942e-01   6.862187e-18   0.000000e+00   6.544409e-19   48
  1.144905e-01   5.694988e-18   0.000000e+00   5.708988e-19   48
  1.161620e-01   4.644764e-18   1.404895e-09   4.810578e-19   48
  1.178097e-01   5.365160e-18   1.589457e-09   7.333362e-19   30
