# power spectrum of B
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.249691e-17   0.000000e+00   1.828013e-18   6
  2.776802e-02   1.142765e-17   0.000000e+00   1.546962e-18   12
  3.400874e-02   7.034614e-18   3.725290e-10   2.683820e-18   8
  3.926991e-02   8.981699e-18   0.000000e+00   1.993857e-18   6
  4.390509e-02   1.683599e-17   0.000000e+00   2.113386e-18   24
  4.809562e-02   8.547284e-18   7.024475e-10   8.415310e-19   24
  5.553604e-02   6.412325e-18   0.000000e+00   8.978543e-19   12
  5.890486e-02   8.456572e-18   7.947286e-10   1.368398e-18   30
  6.209118e-02   1.019977e-17   0.000000e+00   1.153334e-18   24
  6.512178e-02   1.248819e-17   1.216675e-09   1.353223e-18   24
  6.801748e-02   8.124019e-18   7.450581e-10   1.908252e-18   8
  7.079483e-02   5.072686e-18   9.934107e-10   6.767488e-19   24
  7.346727e-02   8.597669e-18   0.000000e+00   7.749730e-19   48
  7.853982e-02   6.063931e-18   0.000000e+00   4.340949e-19   6
  8.095699e-02   6.359987e-18   1.404895e-09   6.507524e-19   48
  8.330406e-02   9.645897e-18   0.000000e+00   1.083532e-18   36
  8.558678e-02   4.206492e-18   9.934107e-10   7.251198e-19   24
  8.781018e-02   7.769369e-18   0.000000e+00   1.288189e-18   24
  8.997866e-02   5.483888e-18   0.000000e+00   4.303438e-19   48
  9.209610e-02   4.130800e-18   1.404895e-09   3.795297e-19   24
  9.619124e-02   5.270692e-18   1.404895e-09   7.851893e-19   24
  9.817477e-02   5.010263e-18   0.000000e+00   5.918201e-19   30
  1.001190e-01   5.087923e-18   0.000000e+00   5.001110e-19   72
  1.020262e-01   6.992203e-18   1.490116e-09   7.586787e-19   32
  1.057375e-01   5.333973e-18   0.000000e+00   4.235251e-19   72
  1.075451e-01   6.949131e-18   0.000000e+00   6.236386e-19   48
  1.110721e-01   1.545326e-18   0.000000e+00   2.796600e-19   12
  1.127942e-01   4.921914e-18   0.000000e+00   4.481235e-19   48
  1.144905e-01   4.014763e-18   0.000000e+00   4.219321e-19   48
  1.161620e-01   3.207537e-18   1.404895e-09   3.059269e-19   48
  1.178097e-01   3.194707e-18   1.589457e-09   4.391018e-19   30
  1.194348e-01   4.041437e-18   1.404895e-09   6.236975e-19   24
  1.210380e-01   4.571989e-18   2.961779e-09   3.922804e-19   72
  1.241824e-01   4.869612e-18   0.000000e+00   8.108498e-19   24
  1.257251e-01   4.744894e-18   0.000000e+00   3.341290e-19   96
  1.272490e-01   3.139278e-18   0.000000e+00   3.033328e-19   48
  1.287550e-01   3.062473e-18   2.433349e-09   2.814164e-19   24
  1.302436e-01   5.697769e-18   2.433349e-09   8.198436e-19   24
  1.317153e-01   4.329107e-18   0.000000e+00   4.250431e-19   72
  1.331707e-01   4.260523e-18   0.000000e+00   3.749744e-19   48
  1.360350e-01   2.460946e-18   1.490116e-09   2.512279e-19   8
  1.374447e-01   3.123574e-18   1.766064e-09   3.014654e-19   54
  1.388401e-01   2.477832e-18   0.000000e+00   1.784435e-19   84
  1.402216e-01   2.757297e-18   0.000000e+00   2.091864e-19   48
  1.415897e-01   4.812782e-18   1.986821e-09   5.286147e-19   24
  1.429446e-01   3.533733e-18   1.873193e-09   2.580072e-19   72
  1.442869e-01   3.140118e-18   0.000000e+00   2.049858e-19   96
  1.469345e-01   2.716152e-18   0.000000e+00   2.746515e-19   48
  1.482407e-01   3.554673e-18   0.000000e+00   4.360095e-19   48
  1.495354e-01   4.083559e-18   1.986821e-09   4.436126e-19   24
  1.508189e-01   3.562981e-18   0.000000e+00   3.859679e-19   72
  1.533539e-01   2.437605e-18   1.873193e-09   2.232553e-19   72
  1.546058e-01   2.403379e-18   0.000000e+00   1.689204e-19   96
  1.570796e-01   1.806453e-18   0.000000e+00   2.987536e-19   6
  1.583021e-01   2.390210e-18   0.000000e+00   1.904814e-19   96
  1.595151e-01   2.130446e-18   1.986821e-09   1.138002e-19   96
  1.607190e-01   3.158265e-18   0.000000e+00   3.362508e-19   24
  1.619140e-01   2.553233e-18   2.809790e-09   2.660759e-19   48
  1.631002e-01   2.063845e-18   0.000000e+00   1.419481e-19   96
  1.642778e-01   1.816636e-18   0.000000e+00   1.337798e-19   48
  1.666081e-01   2.226248e-18   0.000000e+00   3.143143e-19   36
  1.677611e-01   2.265896e-18   3.441276e-09   2.230652e-19   48
  1.689063e-01   2.524041e-18   3.893359e-09   1.834637e-19   120
  1.700437e-01   1.869500e-18   0.000000e+00   1.613992e-19   56
  1.711736e-01   1.781852e-18   1.986821e-09   2.206372e-19   24
  1.722960e-01   2.345558e-18   0.000000e+00   1.866668e-19   96
  1.734112e-01   2.064912e-18   0.000000e+00   2.478028e-19   48
  1.756204e-01   2.846486e-18   0.000000e+00   4.474874e-19   24
  1.767146e-01   2.228009e-18   0.000000e+00   1.540781e-19   102
  1.778021e-01   2.236198e-18   0.000000e+00   2.118551e-19   48
  1.788829e-01   2.154244e-18   0.000000e+00   1.919783e-19   72
  1.799573e-01   2.849821e-18   0.000000e+00   3.262643e-19   48
  1.810253e-01   1.957810e-18   0.000000e+00   1.958002e-19   48
  1.820871e-01   1.812949e-18   4.495664e-09   9.467105e-20   120
  1.841922e-01   1.215589e-18   2.809790e-09   1.525526e-19   24
  1.852358e-01   2.058961e-18   2.649095e-09   1.189782e-19   144
  1.862735e-01   1.715265e-18   3.178914e-09   1.093631e-19   120
  1.873055e-01   1.590486e-18   2.809790e-09   1.331926e-19   48
  1.893526e-01   2.108447e-18   2.809790e-09   1.483425e-19   48
  1.903679e-01   2.097442e-18   2.809790e-09   1.743785e-19   96
  1.930487e-01   1.557241e-18   4.711199e-04   1.546184e-19   72
  1.943761e-01   1.965658e-18   3.532127e-09   1.267102e-19   108
  1.953653e-01   1.516396e-18   0.000000e+00   1.747701e-19   72
  1.963495e-01   1.266566e-18   0.000000e+00   1.307757e-19   30
  1.973288e-01   1.497839e-18   0.000000e+00   8.562737e-20   168
  1.983033e-01   1.531083e-18   0.000000e+00   1.477720e-19   48
  2.002380e-01   1.748122e-18   0.000000e+00   1.436427e-19   72
  2.011984e-01   1.809522e-18   0.000000e+00   1.268094e-19   96
  2.021542e-01   1.840393e-18   5.298191e-09   1.480032e-19   72
  2.031055e-01   1.629946e-18   0.000000e+00   1.443565e-19   72
  2.047049e-01   1.560774e-18   4.350048e-04   1.389522e-19   104
  2.059331e-01   1.745582e-18   3.746387e-09   1.211406e-19   144
  2.087224e-01   1.384289e-18   6.282881e-09   9.646463e-20   96
  2.096439e-01   1.157387e-18   0.000000e+00   1.015630e-19   96
  2.111095e-01   1.534940e-18   4.475232e-04   1.052507e-19   120
  2.123845e-01   1.406202e-18   0.000000e+00   1.112555e-19   120
  2.132902e-01   1.586498e-18   0.000000e+00   1.133682e-19   72
  2.150901e-01   2.044084e-18   0.000000e+00   2.552722e-19   48
  2.159845e-01   1.229245e-18   4.235416e-09   9.744893e-20   78
  2.171286e-01   1.173559e-18   4.007142e-04   6.829020e-20   168
  2.195255e-01   1.357155e-18   3.746387e-09   8.013126e-20   144
  2.204018e-01   1.637401e-18   3.746387e-09   1.052581e-19   144
  2.229436e-01   1.294142e-18   2.307791e-04   8.412017e-20   156
  2.238729e-01   1.349654e-18   4.866699e-09   1.171238e-19   48
  2.247323e-01   1.393342e-18   3.178914e-09   1.286090e-19   120
  2.255884e-01   1.467001e-18   0.000000e+00   1.586763e-19   48
  2.271022e-01   1.263085e-18   3.532495e-04   6.269928e-20   216
  2.289809e-01   1.142203e-18   0.000000e+00   1.231671e-19   48
  2.298212e-01   1.038323e-18   2.809790e-09   7.040879e-20   96
  2.310160e-01   1.088234e-18   4.128272e-04   7.699326e-20   168
  2.323239e-01   1.168590e-18   2.809790e-09   1.466617e-19   48
  2.331522e-01   1.488750e-18   0.000000e+00   1.097505e-19   96
  2.339775e-01   9.698830e-19   0.000000e+00   6.955339e-20   48
  2.356194e-01   5.905273e-19   3.178914e-09   6.109624e-20   30
  2.364362e-01   1.203090e-18   2.809790e-09   7.836616e-20   96
  2.374123e-01   1.085700e-18   3.244455e-04   5.018084e-20   240
  2.386674e-01   1.085282e-18   3.500299e-04   2.579390e-19   32
  2.396752e-01   8.440068e-19   0.000000e+00   4.149884e-20   168
  2.404781e-01   1.375975e-18   0.000000e+00   9.224348e-20   120
  2.420760e-01   1.481455e-18   5.923557e-09   1.182032e-19   72
  2.428710e-01   1.097313e-18   3.746387e-09   6.893345e-20   144
  2.436634e-01   9.972783e-19   0.000000e+00   6.799235e-20   96
  2.444532e-01   1.050510e-18   0.000000e+00   8.487797e-20   96
  2.460253e-01   1.609694e-18   4.588368e-09   1.238111e-19   72
  2.468075e-01   1.046370e-18   3.973643e-09   6.263191e-20   96
  2.483647e-01   1.195513e-18   0.000000e+00   1.273830e-19   24
  2.491396e-01   1.067956e-18   0.000000e+00   5.895548e-20   192
  2.500522e-01   9.385542e-19   2.970416e-04   8.313995e-20   132
  2.514501e-01   1.177782e-18   0.000000e+00   1.136596e-19   96
  2.522156e-01   7.903822e-19   0.000000e+00   6.975523e-20   96
  2.529787e-01   8.492409e-19   3.178914e-09   6.241407e-20   120
  2.544981e-01   6.064326e-19   0.000000e+00   6.432094e-20   48
  2.557435e-01   1.122718e-18   3.599905e-04   6.376105e-20   222
  2.567603e-01   8.933948e-19   0.000000e+00   6.404283e-20   120
  2.575100e-01   6.438340e-19   4.866699e-09   1.027057e-19   24
  2.586015e-01   1.059497e-18   3.715625e-04   5.084531e-20   312
  2.609797e-01   8.477306e-19   3.483547e-04   7.784306e-20   72
  2.619630e-01   1.228065e-18   2.809790e-09   8.125978e-20   96
  2.629726e-01   8.668944e-19   3.547511e-04   5.043219e-20   192
  2.641613e-01   8.344455e-19   4.495664e-09   6.598804e-20   120
  2.648900e-01   7.108072e-19   0.000000e+00   4.547256e-20   144
  2.663415e-01   1.025655e-18   0.000000e+00   1.663895e-19   48
  2.673732e-01   8.681357e-19   3.567146e-04   3.859013e-20   336
  2.685040e-01   1.195998e-18   0.000000e+00   1.561887e-19   48
  2.699360e-01   9.245101e-19   0.000000e+00   6.764652e-20   192
  2.706492e-01   5.922866e-19   0.000000e+00   7.290101e-20   48
  2.726764e-01   7.967609e-19   2.476067e-04   6.558232e-20   56
  2.736844e-01   9.647986e-19   3.180112e-04   4.197633e-20   336
  2.748894e-01   1.203018e-18   3.532127e-09   1.552953e-19   54
  2.759390e-01   8.067594e-19   3.492904e-04   4.807856e-20   240
  2.781181e-01   7.358064e-19   3.344484e-04   4.075614e-20   228
  2.790651e-01   7.332874e-19   3.746387e-09   5.832141e-20   72
  2.799844e-01   9.389618e-19   3.244231e-04   5.993457e-20   144
  2.811298e-01   1.031337e-18   0.000000e+00   9.434319e-20   96
  2.818146e-01   8.458154e-19   4.495664e-09   4.683484e-20   240
  2.831793e-01   6.689921e-19   3.973643e-09   1.120565e-19   24
  2.840530e-01   8.836896e-19   3.064151e-04   3.669163e-20   336
  2.852142e-01   3.902684e-19   0.000000e+00   4.067541e-20   72
  2.862741e-01   7.361442e-19   3.332831e-04   3.643768e-20   168
  2.872346e-01   1.049509e-18   0.000000e+00   1.290976e-19   72
  2.885737e-01   9.038258e-19   0.000000e+00   7.805728e-20   96
  2.896108e-01   5.694585e-19   3.307829e-04   3.007328e-20   216
  2.905708e-01   1.121835e-18   3.973643e-09   8.432334e-20   96
  2.918946e-01   8.540352e-19   0.000000e+00   5.145417e-20   192
  2.925542e-01   8.398971e-19   3.746387e-09   5.708124e-20   144
  2.938691e-01   7.730457e-19   0.000000e+00   7.326966e-20   48
  2.947794e-01   5.837314e-19   3.189136e-04   2.743085e-20   246
  2.960164e-01   8.093466e-19   2.940434e-04   6.057318e-20   168
  2.971308e-01   6.122427e-19   5.506041e-09   2.969863e-20   120
  2.977788e-01   7.486060e-19   0.000000e+00   4.282187e-20   240
  2.990707e-01   1.043026e-18   3.973643e-09   1.211829e-19   24
  3.001001e-01   7.229869e-19   3.147475e-04   3.015714e-20   360
  3.013820e-01   9.875979e-19   3.134082e-04   8.290889e-20   120
  3.022763e-01   7.676224e-19   0.000000e+00   4.975088e-20   144
  3.029133e-01   7.236890e-19   0.000000e+00   6.587443e-20   96
  3.048165e-01   8.059789e-19   0.000000e+00   5.250687e-20   144
  3.054482e-01   7.574007e-19   0.000000e+00   4.493828e-20   132
  3.063360e-01   6.645113e-19   3.093292e-04   3.861048e-20   176
  3.076248e-01   7.660980e-19   3.123602e-04   5.006912e-20   312
  3.092116e-01   6.124902e-19   0.000000e+00   4.985314e-20   96
  3.098343e-01   5.585640e-19   0.000000e+00   3.879541e-20   144
  3.107899e-01   7.505568e-19   3.092271e-04   4.235570e-20   312
  3.123131e-01   4.674487e-19   0.000000e+00   4.170170e-20   48
  3.129297e-01   8.853705e-19   3.973643e-09   4.636616e-20   192
  3.141593e-01   3.697731e-19   0.000000e+00   1.996784e-20   6
  3.149762e-01   5.587745e-19   2.884066e-04   2.794691e-20   288
  3.162994e-01   8.237938e-19   3.047203e-04   4.803584e-20   192
  3.172124e-01   8.077974e-19   7.064254e-09   4.274299e-20   216
  3.178195e-01   7.421934e-19   0.000000e+00   7.198713e-20   72
  3.193321e-01   6.137730e-19   3.018264e-04   3.593109e-20   192
  3.203366e-01   5.849888e-19   2.241224e-04   3.161839e-20   288
  3.214381e-01   1.149036e-18   0.000000e+00   1.481363e-19   24
  3.222890e-01   6.183283e-19   2.952626e-04   2.217866e-20   456
  3.238280e-01   7.351110e-19   0.000000e+00   9.870250e-20   48
  3.247789e-01   5.280900e-19   2.908218e-04   3.043877e-20   240
  3.258718e-01   6.979525e-19   2.939082e-04   3.928782e-20   216
  3.267908e-01   8.590008e-19   0.000000e+00   8.084686e-20   72
  3.273801e-01   6.000240e-19   1.015467e-08   4.658829e-20   168
  3.290441e-01   5.893602e-19   2.184577e-04   2.952841e-20   288
  3.299773e-01   7.721203e-19   2.890570e-04   5.616189e-20   168
  3.314762e-01   6.400368e-19   0.000000e+00   3.960010e-20   192
  3.320572e-01   7.067202e-19   3.746387e-09   5.607667e-20   144
  3.332162e-01   8.672669e-19   0.000000e+00   1.150772e-19   36
  3.341991e-01   6.802556e-19   2.639705e-04   3.783738e-20   342
  3.351389e-01   5.135429e-19   2.710657e-04   4.917035e-20   144
  3.363470e-01   5.864143e-19   2.842800e-04   2.711726e-20   384
  3.378125e-01   6.698891e-19   7.786718e-09   4.584091e-20   120
  3.385379e-01   6.656915e-19   2.534951e-04   3.671630e-20   264
  3.395201e-01   5.174793e-19   1.256576e-08   3.506150e-20   192
  3.404451e-01   6.515735e-19   2.731894e-04   5.457532e-20   152
  3.412191e-01   5.268781e-19   3.746387e-09   4.002590e-20   144
  3.428472e-01   4.809106e-19   1.768108e-04   2.960945e-20   216
  3.436008e-01   6.233691e-19   2.362665e-04   3.234071e-20   312
  3.449274e-01   7.657679e-19   2.738281e-04   3.787705e-20   240
  3.457090e-01   6.750129e-19   3.973643e-09   3.906513e-20   96
  3.471927e-01   3.622760e-19   2.617995e-04   2.647773e-20   144
  3.481071e-01   6.146555e-19   2.573258e-04   2.824286e-20   456
  3.495904e-01   4.387266e-19   0.000000e+00   4.465918e-20   120
  3.501414e-01   4.974851e-19   0.000000e+00   3.821030e-20   144
