# power spectrum of hij
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.230345e-19   0.000000e+00   1.948583e-19   6
  2.776802e-02   3.360236e-19   0.000000e+00   3.097307e-20   12
  3.400874e-02   1.450194e-19   3.725290e-10   1.786101e-20   8
  3.926991e-02   1.275291e-19   0.000000e+00   1.678074e-20   6
  4.390509e-02   1.025065e-19   0.000000e+00   1.014177e-20   24
  4.809562e-02   4.239557e-20   7.024475e-10   6.778658e-21   24
  5.553604e-02   4.579898e-20   0.000000e+00   5.947515e-21   12
  5.890486e-02   2.124432e-20   7.947286e-10   1.810047e-21   30
  6.209118e-02   1.842028e-20   0.000000e+00   2.320693e-21   24
  6.512178e-02   2.137198e-20   1.216675e-09   2.774073e-21   24
  6.801748e-02   1.232189e-20   7.450581e-10   3.785334e-21   8
  7.079483e-02   1.259949e-20   9.934107e-10   1.487617e-21   24
  7.346727e-02   1.081846e-20   0.000000e+00   1.030610e-21   48
  7.853982e-02   9.595885e-21   0.000000e+00   1.736648e-21   6
  8.095699e-02   7.449923e-21   1.404895e-09   6.866855e-22   48
  8.330406e-02   7.743351e-21   0.000000e+00   8.890793e-22   36
  8.558678e-02   5.800158e-21   9.934107e-10   9.383795e-22   24
  8.781018e-02   5.898940e-21   0.000000e+00   8.193959e-22   24
  8.997866e-02   3.946888e-21   0.000000e+00   4.178339e-22   48
  9.209610e-02   4.672951e-21   1.404895e-09   7.234040e-22   24
  9.619124e-02   3.357721e-21   1.404895e-09   4.058863e-22   24
  9.817477e-02   4.322495e-21   0.000000e+00   6.303922e-22   30
  1.001190e-01   2.402755e-21   0.000000e+00   2.075233e-22   72
  1.020262e-01   2.619387e-21   1.490116e-09   2.754174e-22   32
  1.057375e-01   2.662995e-21   0.000000e+00   2.254208e-22   72
  1.075451e-01   2.249028e-21   0.000000e+00   2.178864e-22   48
  1.110721e-01   1.490946e-21   0.000000e+00   3.099718e-22   12
  1.127942e-01   1.575391e-21   0.000000e+00   1.201856e-22   48
  1.144905e-01   1.684062e-21   0.000000e+00   1.043284e-22   48
  1.161620e-01   1.471162e-21   1.404895e-09   1.225465e-22   48
  1.178097e-01   1.193890e-21   1.589457e-09   1.931595e-22   30
  1.194348e-01   1.392555e-21   1.404895e-09   1.621466e-22   24
  1.210380e-01   1.183934e-21   2.961779e-09   8.840649e-23   72
  1.241824e-01   7.906534e-22   0.000000e+00   8.492140e-23   24
  1.257251e-01   9.051718e-22   0.000000e+00   6.069676e-23   96
  1.272490e-01   1.005635e-21   0.000000e+00   7.476160e-23   48
  1.287550e-01   6.791091e-22   2.433349e-09   6.652783e-23   24
  1.302436e-01   8.192449e-22   2.433349e-09   8.208895e-23   24
  1.317153e-01   7.632490e-22   0.000000e+00   5.006936e-23   72
  1.331707e-01   9.309484e-22   0.000000e+00   6.144020e-23   48
  1.360350e-01   6.313181e-22   1.490116e-09   8.593465e-23   8
  1.374447e-01   5.949124e-22   1.766064e-09   6.570099e-23   54
  1.388401e-01   5.617432e-22   0.000000e+00   4.347303e-23   84
  1.402216e-01   5.266356e-22   0.000000e+00   7.072714e-23   48
  1.415897e-01   5.983874e-22   1.986821e-09   5.462308e-23   24
  1.429446e-01   4.534910e-22   1.873193e-09   4.676628e-23   72
  1.442869e-01   4.410200e-22   0.000000e+00   4.130464e-23   96
  1.469345e-01   4.308494e-22   0.000000e+00   2.814818e-23   48
  1.482407e-01   4.910031e-22   0.000000e+00   4.177991e-23   48
