# power spectrum of chi
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.729364e-20   0.000000e+00   2.980460e-20   6
  2.776802e-02   1.393141e-19   0.000000e+00   3.796970e-20   12
  3.400874e-02   8.265579e-20   3.725290e-10   1.639803e-20   8
  3.926991e-02   6.495876e-20   0.000000e+00   2.142597e-20   6
  4.390509e-02   8.207910e-20   0.000000e+00   2.046020e-20   24
  4.809562e-02   6.977455e-20   7.024475e-10   1.148323e-20   24
  5.553604e-02   3.450920e-20   0.000000e+00   1.281785e-20   12
  5.890486e-02   3.984727e-20   7.947286e-10   6.150932e-21   30
  6.209118e-02   2.419920e-20   0.000000e+00   3.717450e-21   24
  6.512178e-02   1.658919e-20   1.216675e-09   4.445939e-21   24
  6.801748e-02   3.929324e-20   7.450581e-10   9.479765e-21   8
  7.079483e-02   1.800701e-20   9.934107e-10   3.872554e-21   24
  7.346727e-02   1.401584e-20   0.000000e+00   2.140018e-21   48
  7.853982e-02   1.270141e-20   0.000000e+00   1.122095e-21   6
  8.095699e-02   1.287185e-20   1.404895e-09   1.446301e-21   48
  8.330406e-02   8.902985e-21   0.000000e+00   1.787121e-21   36
  8.558678e-02   7.563970e-21   9.934107e-10   1.500372e-21   24
  8.781018e-02   7.878754e-21   0.000000e+00   1.384331e-21   24
  8.997866e-02   7.016376e-21   0.000000e+00   1.264141e-21   48
  9.209610e-02   1.584798e-20   1.404895e-09   3.197168e-21   24
  9.619124e-02   1.030053e-20   1.404895e-09   1.828500e-21   24
  9.817477e-02   4.775557e-21   0.000000e+00   1.301578e-21   30
  1.001190e-01   5.184533e-21   0.000000e+00   4.401771e-22   72
  1.020262e-01   4.023761e-21   1.490116e-09   7.259831e-22   32
  1.057375e-01   6.211240e-21   0.000000e+00   6.371841e-22   72
  1.075451e-01   3.729707e-21   0.000000e+00   4.929205e-22   48
  1.110721e-01   4.883039e-21   0.000000e+00   4.928559e-22   12
  1.127942e-01   3.995788e-21   0.000000e+00   4.280751e-22   48
  1.144905e-01   3.692370e-21   0.000000e+00   5.132063e-22   48
  1.161620e-01   2.136334e-21   1.404895e-09   2.799183e-22   48
  1.178097e-01   2.386526e-21   1.589457e-09   4.195200e-22   30
  1.194348e-01   1.123636e-21   1.404895e-09   1.661206e-22   24
  1.210380e-01   3.354445e-21   2.961779e-09   4.859814e-22   72
  1.241824e-01   2.072390e-21   0.000000e+00   2.906930e-22   24
  1.257251e-01   1.765876e-21   0.000000e+00   1.820610e-22   96
  1.272490e-01   2.823749e-21   0.000000e+00   3.172719e-22   48
  1.287550e-01   2.490630e-21   2.433349e-09   4.625080e-22   24
  1.302436e-01   2.057334e-21   2.433349e-09   2.803008e-22   24
  1.317153e-01   1.688655e-21   0.000000e+00   2.036336e-22   72
  1.331707e-01   1.423422e-21   0.000000e+00   1.762891e-22   48
  1.360350e-01   1.706121e-21   1.490116e-09   7.698544e-22   8
  1.374447e-01   1.482546e-21   1.766064e-09   2.162129e-22   54
  1.388401e-01   2.145289e-21   0.000000e+00   2.678264e-22   84
  1.402216e-01   1.114082e-21   0.000000e+00   1.854442e-22   48
  1.415897e-01   1.127428e-21   1.986821e-09   1.668445e-22   24
  1.429446e-01   1.107494e-21   1.873193e-09   1.294805e-22   72
  1.442869e-01   1.444212e-21   0.000000e+00   1.277972e-22   96
  1.469345e-01   1.017148e-21   0.000000e+00   1.352143e-22   48
  1.482407e-01   1.011446e-21   0.000000e+00   1.254195e-22   48
  1.495354e-01   1.353063e-21   1.986821e-09   3.544219e-22   24
  1.508189e-01   1.383336e-21   0.000000e+00   1.588500e-22   72
  1.533539e-01   1.017012e-21   1.873193e-09   1.106516e-22   72
  1.546058e-01   1.028243e-21   0.000000e+00   1.035565e-22   96
  1.570796e-01   1.977944e-22   0.000000e+00   5.290059e-23   6
  1.583021e-01   8.516373e-22   0.000000e+00   9.244563e-23   96
  1.595151e-01   9.055374e-22   1.986821e-09   9.475987e-23   96
  1.607190e-01   1.561451e-21   0.000000e+00   2.375030e-22   24
  1.619140e-01   9.108843e-22   2.809790e-09   1.346108e-22   48
  1.631002e-01   7.733550e-22   0.000000e+00   8.663041e-23   96
  1.642778e-01   9.410506e-22   0.000000e+00   1.377125e-22   48
  1.666081e-01   7.731283e-22   0.000000e+00   1.377220e-22   36
  1.677611e-01   7.875135e-22   3.441276e-09   1.329363e-22   48
  1.689063e-01   5.661885e-22   3.893359e-09   4.809791e-23   120
  1.700437e-01   9.246139e-22   0.000000e+00   1.673826e-22   56
  1.711736e-01   6.733989e-22   1.986821e-09   8.416327e-23   24
  1.722960e-01   6.108296e-22   0.000000e+00   6.690695e-23   96
  1.734112e-01   6.702094e-22   0.000000e+00   8.553175e-23   48
  1.756204e-01   3.477565e-22   0.000000e+00   5.223770e-23   24
  1.767146e-01   5.327820e-22   0.000000e+00   5.229570e-23   102
  1.778021e-01   3.927879e-22   0.000000e+00   4.451228e-23   48
  1.788829e-01   5.203460e-22   0.000000e+00   6.449480e-23   72
  1.799573e-01   6.589604e-22   0.000000e+00   1.051445e-22   48
  1.810253e-01   3.936400e-22   0.000000e+00   3.422368e-23   48
  1.820871e-01   3.851058e-22   4.495664e-09   3.163677e-23   120
  1.841922e-01   3.199888e-22   2.809790e-09   5.823720e-23   24
  1.852358e-01   4.791997e-22   2.649095e-09   3.408459e-23   144
  1.862735e-01   4.157115e-22   3.178914e-09   3.792667e-23   120
  1.873055e-01   4.017943e-22   2.809790e-09   4.766484e-23   48
  1.893526e-01   4.568594e-22   2.809790e-09   7.789742e-23   48
  1.903679e-01   3.490098e-22   2.809790e-09   3.646891e-23   96
  1.930487e-01   3.291729e-22   4.711199e-04   3.442047e-23   72
  1.943761e-01   2.853411e-22   3.532127e-09   2.901426e-23   108
  1.953653e-01   3.602341e-22   0.000000e+00   4.049781e-23   72
  1.963495e-01   3.548692e-22   0.000000e+00   8.398697e-23   30
  1.973288e-01   3.689664e-22   0.000000e+00   2.654045e-23   168
  1.983033e-01   3.405615e-22   0.000000e+00   5.106445e-23   48
  2.002380e-01   2.815798e-22   0.000000e+00   3.046287e-23   72
  2.011984e-01   2.825613e-22   0.000000e+00   2.691905e-23   96
  2.021542e-01   2.872038e-22   5.298191e-09   3.242470e-23   72
  2.031055e-01   2.786788e-22   0.000000e+00   2.954616e-23   72
  2.047049e-01   2.885969e-22   4.350048e-04   3.172914e-23   104
  2.059331e-01   2.540441e-22   3.746387e-09   2.115435e-23   144
  2.087224e-01   2.520651e-22   6.282881e-09   2.592409e-23   96
  2.096439e-01   2.754650e-22   0.000000e+00   2.221576e-23   96
  2.111095e-01   2.272514e-22   4.475232e-04   1.882327e-23   120
  2.123845e-01   2.035858e-22   0.000000e+00   1.645098e-23   120
  2.132902e-01   1.997676e-22   0.000000e+00   2.612407e-23   72
