# power spectrum of hij
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   4.602118e-19   0.000000e+00   1.675032e-19   6
  2.776802e-02   2.993838e-19   0.000000e+00   2.782161e-20   12
  3.400874e-02   1.313375e-19   3.725290e-10   1.503156e-20   8
  3.926991e-02   1.162936e-19   0.000000e+00   1.342335e-20   6
  4.390509e-02   9.435622e-20   0.000000e+00   9.602616e-21   24
  4.809562e-02   4.016494e-20   7.024475e-10   6.692986e-21   24
  5.553604e-02   4.238932e-20   0.000000e+00   5.467600e-21   12
  5.890486e-02   1.857580e-20   7.947286e-10   1.629957e-21   30
  6.209118e-02   1.779364e-20   0.000000e+00   2.461891e-21   24
  6.512178e-02   2.060466e-20   1.216675e-09   3.018780e-21   24
  6.801748e-02   1.152491e-20   7.450581e-10   2.688055e-21   8
  7.079483e-02   1.135271e-20   9.934107e-10   1.412903e-21   24
  7.346727e-02   1.008911e-20   0.000000e+00   9.614464e-22   48
  7.853982e-02   9.246910e-21   0.000000e+00   1.456123e-21   6
  8.095699e-02   6.380718e-21   1.404895e-09   6.282462e-22   48
  8.330406e-02   7.020055e-21   0.000000e+00   7.685253e-22   36
  8.558678e-02   5.379268e-21   9.934107e-10   9.220963e-22   24
  8.781018e-02   5.450675e-21   0.000000e+00   8.180456e-22   24
  8.997866e-02   3.827161e-21   0.000000e+00   4.107516e-22   48
  9.209610e-02   4.458834e-21   1.404895e-09   6.386077e-22   24
  9.619124e-02   2.862435e-21   1.404895e-09   3.753684e-22   24
  9.817477e-02   3.947377e-21   0.000000e+00   6.382551e-22   30
  1.001190e-01   2.250511e-21   0.000000e+00   1.841887e-22   72
  1.020262e-01   2.256933e-21   1.490116e-09   2.144889e-22   32
  1.057375e-01   2.335413e-21   0.000000e+00   2.075230e-22   72
  1.075451e-01   1.876795e-21   0.000000e+00   1.782579e-22   48
  1.110721e-01   1.648705e-21   0.000000e+00   3.413698e-22   12
  1.127942e-01   1.461803e-21   0.000000e+00   1.055002e-22   48
  1.144905e-01   1.548891e-21   0.000000e+00   1.110832e-22   48
  1.161620e-01   1.344957e-21   1.404895e-09   1.154174e-22   48
  1.178097e-01   1.260136e-21   1.589457e-09   1.743610e-22   30
  1.194348e-01   1.187635e-21   1.404895e-09   1.101842e-22   24
  1.210380e-01   1.176812e-21   2.961779e-09   8.496431e-23   72
  1.241824e-01   7.497247e-22   0.000000e+00   9.437906e-23   24
  1.257251e-01   7.953926e-22   0.000000e+00   4.935308e-23   96
  1.272490e-01   9.557320e-22   0.000000e+00   7.079917e-23   48
  1.287550e-01   6.944156e-22   2.433349e-09   6.522354e-23   24
  1.302436e-01   8.247207e-22   2.433349e-09   1.098216e-22   24
  1.317153e-01   6.636450e-22   0.000000e+00   4.085383e-23   72
  1.331707e-01   8.198573e-22   0.000000e+00   5.961014e-23   48
  1.360350e-01   6.007828e-22   1.490116e-09   1.432157e-23   8
  1.374447e-01   5.312736e-22   1.766064e-09   6.455675e-23   54
  1.388401e-01   4.816807e-22   0.000000e+00   3.812699e-23   84
  1.402216e-01   4.442673e-22   0.000000e+00   6.266026e-23   48
  1.415897e-01   5.663133e-22   1.986821e-09   5.301610e-23   24
  1.429446e-01   4.335203e-22   1.873193e-09   5.016369e-23   72
  1.442869e-01   4.037174e-22   0.000000e+00   4.065611e-23   96
  1.469345e-01   3.714448e-22   0.000000e+00   2.684125e-23   48
  1.482407e-01   4.603643e-22   0.000000e+00   4.253023e-23   48
  1.495354e-01   2.688467e-22   1.986821e-09   3.301405e-23   24
  1.508189e-01   3.647514e-22   0.000000e+00   2.380251e-23   72
  1.533539e-01   3.384826e-22   1.873193e-09   3.303885e-23   72
  1.546058e-01   2.555676e-22   0.000000e+00   1.580584e-23   96
  1.570796e-01   2.537139e-22   0.000000e+00   6.745008e-23   6
  1.583021e-01   2.777988e-22   0.000000e+00   2.103155e-23   96
  1.595151e-01   2.877606e-22   1.986821e-09   1.833455e-23   96
  1.607190e-01   3.390284e-22   0.000000e+00   3.012971e-23   24
  1.619140e-01   2.680622e-22   2.809790e-09   2.433143e-23   48
  1.631002e-01   2.090088e-22   0.000000e+00   1.541904e-23   96
  1.642778e-01   1.860300e-22   0.000000e+00   1.274192e-23   48
  1.666081e-01   2.382664e-22   0.000000e+00   2.652914e-23   36
  1.677611e-01   2.095525e-22   3.441276e-09   2.230952e-23   48
  1.689063e-01   1.969106e-22   3.893359e-09   1.234169e-23   120
  1.700437e-01   1.792508e-22   0.000000e+00   1.501211e-23   56
  1.711736e-01   2.162042e-22   1.986821e-09   3.658527e-23   24
  1.722960e-01   1.583402e-22   0.000000e+00   1.373221e-23   96
  1.734112e-01   1.990052e-22   0.000000e+00   2.224566e-23   48
  1.756204e-01   1.508764e-22   0.000000e+00   2.627314e-23   24
  1.767146e-01   1.556233e-22   0.000000e+00   1.088345e-23   102
  1.778021e-01   1.557820e-22   0.000000e+00   1.761731e-23   48
  1.788829e-01   1.610636e-22   0.000000e+00   1.350008e-23   72
  1.799573e-01   1.356513e-22   0.000000e+00   1.159164e-23   48
  1.810253e-01   1.680782e-22   0.000000e+00   1.422422e-23   48
  1.820871e-01   1.505518e-22   4.495664e-09   9.409831e-24   120
  1.841922e-01   1.299145e-22   2.809790e-09   1.400902e-23   24
  1.852358e-01   1.229720e-22   2.649095e-09   7.590267e-24   144
  1.862735e-01   1.210250e-22   3.178914e-09   7.558334e-24   120
  1.873055e-01   1.032744e-22   2.809790e-09   7.482513e-24   48
  1.893526e-01   1.014387e-22   2.809790e-09   1.039461e-23   48
  1.903679e-01   1.003550e-22   2.809790e-09   6.866480e-24   96
  1.930487e-01   9.141347e-23   4.711199e-04   8.455995e-24   72
  1.943761e-01   8.021318e-23   3.532127e-09   4.581973e-24   108
  1.953653e-01   9.984980e-23   0.000000e+00   8.942060e-24   72
  1.963495e-01   7.682970e-23   0.000000e+00   9.180418e-24   30
  1.973288e-01   8.741030e-23   0.000000e+00   3.926484e-24   168
  1.983033e-01   6.704618e-23   0.000000e+00   8.375140e-24   48
  2.002380e-01   8.316555e-23   0.000000e+00   7.242638e-24   72
  2.011984e-01   7.389460e-23   0.000000e+00   4.246803e-24   96
  2.021542e-01   8.039033e-23   5.298191e-09   6.407778e-24   72
  2.031055e-01   6.221295e-23   0.000000e+00   4.268972e-24   72
  2.047049e-01   7.026133e-23   4.350048e-04   5.334923e-24   104
  2.059331e-01   7.308004e-23   3.746387e-09   5.914896e-24   144
  2.087224e-01   5.857260e-23   6.282881e-09   4.101315e-24   96
  2.096439e-01   5.748228e-23   0.000000e+00   4.797180e-24   96
  2.111095e-01   5.988215e-23   4.475232e-04   3.990877e-24   120
  2.123845e-01   6.441976e-23   0.000000e+00   4.605938e-24   120
  2.132902e-01   6.242480e-23   0.000000e+00   5.514017e-24   72
  2.150901e-01   6.935480e-23   0.000000e+00   8.015091e-24   48
  2.159845e-01   6.813567e-23   4.235416e-09   4.730029e-24   78
  2.171286e-01   6.028024e-23   4.007142e-04   2.857582e-24   168
  2.195255e-01   5.104503e-23   3.746387e-09   2.934335e-24   144
  2.204018e-01   4.675990e-23   3.746387e-09   2.900517e-24   144
  2.229436e-01   3.990950e-23   2.307791e-04   2.548012e-24   156
  2.238729e-01   4.774820e-23   4.866699e-09   4.779507e-24   48
  2.247323e-01   4.627017e-23   3.178914e-09   2.802123e-24   120
  2.255884e-01   4.630922e-23   0.000000e+00   3.665982e-24   48
  2.271022e-01   3.873096e-23   3.532495e-04   1.945445e-24   216
  2.289809e-01   3.431451e-23   0.000000e+00   3.333305e-24   48
  2.298212e-01   3.999018e-23   2.809790e-09   2.471553e-24   96
  2.310160e-01   3.809076e-23   4.128272e-04   1.983445e-24   168
  2.323239e-01   2.818265e-23   2.809790e-09   3.176134e-24   48
  2.331522e-01   4.059223e-23   0.000000e+00   2.306434e-24   96
  2.339775e-01   4.200706e-23   0.000000e+00   4.822155e-24   48
  2.356194e-01   4.408769e-23   3.178914e-09   5.379351e-24   30
  2.364362e-01   3.559069e-23   2.809790e-09   2.565162e-24   96
  2.374123e-01   3.226236e-23   3.244455e-04   1.467194e-24   240
  2.386674e-01   3.326917e-23   3.500299e-04   3.235187e-24   32
  2.396752e-01   3.111578e-23   0.000000e+00   1.504599e-24   168
  2.404781e-01   2.851198e-23   0.000000e+00   2.139743e-24   120
  2.420760e-01   3.136740e-23   5.923557e-09   3.346517e-24   72
  2.428710e-01   2.737184e-23   3.746387e-09   1.623530e-24   144
  2.436634e-01   2.805145e-23   0.000000e+00   1.725208e-24   96
  2.444532e-01   2.780736e-23   0.000000e+00   1.780371e-24   96
  2.460253e-01   3.180447e-23   4.588368e-09   2.151124e-24   72
  2.468075e-01   2.943854e-23   3.973643e-09   2.304875e-24   96
  2.483647e-01   2.196195e-23   0.000000e+00   3.213505e-24   24
  2.491396e-01   2.473123e-23   0.000000e+00   1.167837e-24   192
  2.500522e-01   2.772467e-23   2.970416e-04   1.803115e-24   132
  2.514501e-01   2.133095e-23   0.000000e+00   1.345849e-24   96
  2.522156e-01   2.404994e-23   0.000000e+00   1.498592e-24   96
  2.529787e-01   2.340658e-23   3.178914e-09   1.564730e-24   120
  2.544981e-01   2.179043e-23   0.000000e+00   2.142627e-24   48
  2.557435e-01   2.463737e-23   3.599905e-04   1.204814e-24   222
  2.567603e-01   2.403419e-23   0.000000e+00   1.857912e-24   120
  2.575100e-01   2.483225e-23   4.866699e-09   3.068401e-24   24
  2.586015e-01   2.179830e-23   3.715625e-04   9.025553e-25   312
  2.609797e-01   1.751463e-23   3.483547e-04   1.366740e-24   72
  2.619630e-01   2.059358e-23   2.809790e-09   1.223007e-24   96
  2.629726e-01   1.935839e-23   3.547511e-04   7.934176e-25   192
  2.641613e-01   2.318636e-23   4.495664e-09   1.437536e-24   120
  2.648900e-01   1.654195e-23   0.000000e+00   9.901181e-25   144
  2.663415e-01   1.585091e-23   0.000000e+00   1.546079e-24   48
  2.673732e-01   1.736691e-23   3.567146e-04   6.744188e-25   336
  2.685040e-01   1.849461e-23   0.000000e+00   1.918202e-24   48
  2.699360e-01   1.699018e-23   0.000000e+00   8.599218e-25   192
  2.706492e-01   1.785337e-23   0.000000e+00   1.459787e-24   48
  2.726764e-01   1.461872e-23   2.476067e-04   1.280685e-24   56
  2.736844e-01   1.675110e-23   3.180112e-04   6.485117e-25   336
  2.748894e-01   1.628313e-23   3.532127e-09   1.450315e-24   54
  2.759390e-01   1.645568e-23   3.492904e-04   7.263438e-25   240
  2.781181e-01   1.527722e-23   3.344484e-04   6.854872e-25   228
  2.790651e-01   1.682443e-23   3.746387e-09   1.420621e-24   72
  2.799844e-01   1.388245e-23   3.244231e-04   8.195592e-25   144
  2.811298e-01   1.943536e-23   0.000000e+00   1.546996e-24   96
  2.818146e-01   1.245274e-23   4.495664e-09   5.694325e-25   240
  2.831793e-01   1.667522e-23   3.973643e-09   1.648459e-24   24
  2.840530e-01   1.444703e-23   3.064151e-04   5.999499e-25   336
  2.852142e-01   9.903304e-24   0.000000e+00   7.632682e-25   72
  2.862741e-01   1.468524e-23   3.332831e-04   8.800951e-25   168
  2.872346e-01   1.523085e-23   0.000000e+00   1.032156e-24   72
  2.885737e-01   1.204284e-23   0.000000e+00   1.008170e-24   96
  2.896108e-01   1.216232e-23   3.307829e-04   6.068713e-25   216
  2.905708e-01   1.282272e-23   3.973643e-09   8.842942e-25   96
  2.918946e-01   1.080855e-23   0.000000e+00   5.462868e-25   192
  2.925542e-01   1.462969e-23   3.746387e-09   7.761958e-25   144
  2.938691e-01   1.113807e-23   0.000000e+00   1.162443e-24   48
  2.947794e-01   1.161521e-23   3.189136e-04   5.962000e-25   246
  2.960164e-01   1.068629e-23   2.940434e-04   6.635873e-25   168
  2.971308e-01   1.250369e-23   5.506041e-09   8.607353e-25   120
  2.977788e-01   1.121897e-23   0.000000e+00   5.583130e-25   240
  2.990707e-01   1.445220e-23   3.973643e-09   2.461876e-24   24
  3.001001e-01   1.010942e-23   3.147475e-04   3.896825e-25   360
  3.013820e-01   1.267913e-23   3.134082e-04   7.422625e-25   120
  3.022763e-01   1.096266e-23   0.000000e+00   8.133314e-25   144
  3.029133e-01   1.011791e-23   0.000000e+00   6.787786e-25   96
  3.048165e-01   9.106933e-24   0.000000e+00   5.086113e-25   144
  3.054482e-01   1.069044e-23   0.000000e+00   7.803535e-25   132
  3.063360e-01   9.523990e-24   3.093292e-04   4.168859e-25   176
  3.076248e-01   9.149437e-24   3.123602e-04   3.526279e-25   312
  3.092116e-01   8.169523e-24   0.000000e+00   6.671309e-25   96
  3.098343e-01   8.389847e-24   0.000000e+00   4.655054e-25   144
  3.107899e-01   9.349446e-24   3.092271e-04   3.663049e-25   312
  3.123131e-01   8.377036e-24   0.000000e+00   7.364730e-25   48
  3.129297e-01   9.075237e-24   3.973643e-09   4.342151e-25   192
  3.141593e-01   7.125103e-24   0.000000e+00   1.705669e-24   6
  3.149762e-01   8.188933e-24   2.884066e-04   3.514326e-25   288
  3.162994e-01   8.454958e-24   3.047203e-04   4.248196e-25   192
  3.172124e-01   8.152608e-24   7.064254e-09   4.311574e-25   216
  3.178195e-01   8.788093e-24   0.000000e+00   6.420657e-25   72
  3.193321e-01   9.773241e-24   3.018264e-04   5.260074e-25   192
  3.203366e-01   7.570396e-24   2.241224e-04   3.546040e-25   288
  3.214381e-01   7.376712e-24   0.000000e+00   8.834048e-25   24
  3.222890e-01   7.799964e-24   2.952626e-04   2.550488e-25   456
  3.238280e-01   7.864490e-24   0.000000e+00   7.448741e-25   48
  3.247789e-01   7.236947e-24   2.908218e-04   2.988075e-25   240
  3.258718e-01   8.383174e-24   2.939082e-04   3.697635e-25   216
  3.267908e-01   6.921382e-24   0.000000e+00   6.063837e-25   72
  3.273801e-01   7.089618e-24   1.015467e-08   3.871209e-25   168
  3.290441e-01   7.031839e-24   2.184577e-04   3.015388e-25   288
  3.299773e-01   7.144965e-24   2.890570e-04   4.204403e-25   168
  3.314762e-01   5.691894e-24   0.000000e+00   2.633833e-25   192
  3.320572e-01   6.905801e-24   3.746387e-09   4.023417e-25   144
  3.332162e-01   8.946938e-24   0.000000e+00   7.098966e-25   36
  3.341991e-01   5.926589e-24   2.639705e-04   2.288495e-25   342
  3.351389e-01   5.832878e-24   2.710657e-04   3.239760e-25   144
  3.363470e-01   6.409906e-24   2.842800e-04   2.435695e-25   384
  3.378125e-01   6.977152e-24   7.786718e-09   5.128554e-25   120
  3.385379e-01   7.185253e-24   2.534951e-04   2.722538e-25   264
  3.395201e-01   6.142711e-24   1.256576e-08   2.934363e-25   192
  3.404451e-01   6.181330e-24   2.731894e-04   3.258654e-25   152
  3.412191e-01   5.859579e-24   3.746387e-09   3.400298e-25   144
  3.428472e-01   5.908333e-24   1.768108e-04   2.834307e-25   216
  3.436008e-01   5.513394e-24   2.362665e-04   2.172211e-25   312
  3.449274e-01   5.568791e-24   2.738281e-04   2.684050e-25   240
  3.457090e-01   5.171325e-24   3.973643e-09   3.827761e-25   96
  3.471927e-01   5.564295e-24   2.617995e-04   3.108290e-25   144
  3.481071e-01   5.403597e-24   2.573258e-04   1.843168e-25   456
  3.495904e-01   5.895932e-24   0.000000e+00   3.389971e-25   120
  3.501414e-01   5.597966e-24   0.000000e+00   5.076910e-25   144
  3.512407e-01   8.086215e-24   0.000000e+00   8.718042e-25   24
  3.519456e-01   4.867145e-24   2.473498e-04   1.813214e-25   336
  3.531645e-01   5.644342e-24   2.727931e-04   3.058119e-25   198
  3.543067e-01   5.056008e-24   2.652756e-04   1.838132e-25   432
  3.556041e-01   7.607416e-24   0.000000e+00   7.942520e-25   48
  3.562810e-01   5.077282e-24   2.341925e-04   1.912281e-25   384
  3.574963e-01   5.455971e-24   2.696052e-04   3.248510e-25   144
  3.585975e-01   4.933457e-24   2.676825e-04   2.254218e-25   264
  3.599147e-01   6.249781e-24   3.973643e-09   7.329216e-25   48
  3.607984e-01   4.761027e-24   2.545223e-04   2.097072e-25   276
  3.616510e-01   4.817864e-24   2.307176e-04   2.720252e-25   192
  3.627906e-01   4.665450e-24   2.592759e-04   1.554323e-25   552
  3.641741e-01   5.354882e-24   4.495664e-09   3.082202e-25   120
  3.649965e-01   4.273960e-24   2.624511e-04   2.107238e-25   216
  3.657587e-01   4.479717e-24   6.357829e-09   2.878809e-25   120
  3.671201e-01   4.507033e-24   2.584500e-04   1.536404e-25   408
  3.683844e-01   3.966490e-24   5.619580e-09   9.202472e-25   24
  3.691684e-01   4.533234e-24   2.610810e-04   1.545771e-25   384
  3.702633e-01   4.468736e-24   2.550855e-04   1.847254e-25   240
  3.712141e-01   4.651439e-24   2.569535e-04   2.740205e-25   168
  3.725471e-01   4.505539e-24   0.000000e+00   3.145976e-25   120
  3.734064e-01   4.209455e-24   2.678605e-04   1.656593e-25   350
  3.748037e-01   4.288904e-24   4.409502e-04   1.542280e-25   384
  3.756388e-01   3.809547e-24   0.000000e+00   2.516976e-25   144
  3.771752e-01   3.848817e-24   0.000000e+00   1.718747e-25   288
  3.779773e-01   3.252662e-24   2.524053e-04   1.444835e-25   336
  3.790686e-01   3.924578e-24   2.297941e-04   2.067742e-25   168
  3.797219e-01   3.916033e-24   1.015467e-08   1.444451e-25   336
  3.810732e-01   3.821129e-24   2.385126e-04   1.731246e-25   288
  3.818848e-01   3.993114e-24   2.247398e-04   1.809757e-25   264
  3.832590e-01   3.506309e-24   0.000000e+00   1.524609e-25   240
  3.837616e-01   3.943493e-24   5.619580e-09   2.958081e-25   96
  3.855656e-01   3.623773e-24   3.056310e-04   1.382342e-25   360
  3.864075e-01   3.155278e-24   2.253025e-04   1.500200e-25   168
  3.874713e-01   3.428825e-24   2.456032e-04   1.106958e-25   456
  3.887523e-01   3.401483e-24   4.995182e-09   2.009485e-25   108
  3.894728e-01   3.135320e-24   2.464311e-04   1.660995e-25   264
  3.903716e-01   3.420120e-24   2.198567e-04   1.608789e-25   264
  3.916025e-01   3.474583e-24   2.074668e-04   1.548292e-25   312
  3.931351e-01   2.993445e-24   1.541705e-04   1.295493e-25   270
  3.937775e-01   3.033803e-24   1.957388e-04   1.582609e-25   240
  3.949323e-01   3.051948e-24   2.421536e-04   1.066795e-25   384
