# power spectrum of phi
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.481401e-10   0.000000e+00   5.397768e-11   6
  2.776802e-02   2.205149e-10   0.000000e+00   4.866452e-11   12
  3.400874e-02   1.138476e-10   3.725290e-10   3.222480e-11   8
  3.926991e-02   9.616541e-11   0.000000e+00   2.768348e-11   6
  4.390509e-02   7.077851e-11   0.000000e+00   9.309129e-12   24
  4.809562e-02   6.402156e-11   7.024475e-10   1.257563e-11   24
  5.553604e-02   1.596366e-11   0.000000e+00   3.987426e-12   12
  5.890486e-02   4.590123e-11   7.947286e-10   5.683114e-12   30
  6.209118e-02   2.792430e-11   0.000000e+00   4.968593e-12   24
  6.512178e-02   3.175971e-11   1.216675e-09   6.656328e-12   24
  6.801748e-02   6.168649e-11   7.450581e-10   2.291353e-11   8
  7.079483e-02   2.188637e-11   9.934107e-10   4.246408e-12   24
  7.346727e-02   2.317570e-11   0.000000e+00   2.733670e-12   48
  7.853982e-02   1.501294e-11   0.000000e+00   1.670203e-12   6
  8.095699e-02   2.535334e-11   1.404895e-09   2.794049e-12   48
  8.330406e-02   2.432160e-11   0.000000e+00   3.579242e-12   36
  8.558678e-02   1.204078e-11   9.934107e-10   2.756908e-12   24
  8.781018e-02   1.615084e-11   0.000000e+00   2.266844e-12   24
  8.997866e-02   1.369477e-11   0.000000e+00   1.700025e-12   48
  9.209610e-02   2.500111e-11   1.404895e-09   4.615660e-12   24
  9.619124e-02   1.382900e-11   1.404895e-09   2.794020e-12   24
  9.817477e-02   1.470960e-11   0.000000e+00   2.309709e-12   30
  1.001190e-01   1.438954e-11   0.000000e+00   1.426991e-12   72
  1.020262e-01   1.479448e-11   1.490116e-09   2.156089e-12   32
  1.057375e-01   9.972752e-12   0.000000e+00   1.690649e-12   72
  1.075451e-01   1.041089e-11   0.000000e+00   1.265832e-12   48
  1.110721e-01   4.499843e-12   0.000000e+00   9.392851e-13   12
  1.127942e-01   1.157926e-11   0.000000e+00   1.519254e-12   48
  1.144905e-01   1.089470e-11   0.000000e+00   1.588196e-12   48
  1.161620e-01   6.975005e-12   1.404895e-09   1.016652e-12   48
  1.178097e-01   7.642201e-12   1.589457e-09   1.013926e-12   30
  1.194348e-01   7.590901e-12   1.404895e-09   1.193226e-12   24
  1.210380e-01   7.885119e-12   2.961779e-09   8.014102e-13   72
  1.241824e-01   6.374522e-12   0.000000e+00   2.278895e-12   24
  1.257251e-01   9.951115e-12   0.000000e+00   9.359354e-13   96
  1.272490e-01   5.195397e-12   0.000000e+00   9.386334e-13   48
  1.287550e-01   6.887447e-12   2.433349e-09   1.173889e-12   24
  1.302436e-01   1.224976e-11   2.433349e-09   2.359877e-12   24
