# power spectrum of phi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.469590e-10   0.000000e+00   5.359523e-11   6
  2.776802e-02   2.184954e-10   0.000000e+00   4.822361e-11   12
  3.400874e-02   1.125773e-10   3.725290e-10   3.187662e-11   8
  3.926991e-02   9.544902e-11   0.000000e+00   2.747120e-11   6
  4.390509e-02   7.011863e-11   0.000000e+00   9.225505e-12   24
  4.809562e-02   6.323874e-11   7.024475e-10   1.242904e-11   24
  5.553604e-02   1.576519e-11   0.000000e+00   3.930840e-12   12
  5.890486e-02   4.533199e-11   7.947286e-10   5.623292e-12   30
  6.209118e-02   2.763959e-11   0.000000e+00   4.923789e-12   24
  6.512178e-02   3.140460e-11   1.216675e-09   6.579140e-12   24
  6.801748e-02   6.058394e-11   7.450581e-10   2.251220e-11   8
  7.079483e-02   2.161214e-11   9.934107e-10   4.194345e-12   24
  7.346727e-02   2.272594e-11   0.000000e+00   2.682866e-12   48
  7.853982e-02   1.489990e-11   0.000000e+00   1.647418e-12   6
  8.095699e-02   2.497552e-11   1.404895e-09   2.761534e-12   48
  8.330406e-02   2.388974e-11   0.000000e+00   3.521423e-12   36
  8.558678e-02   1.176168e-11   9.934107e-10   2.707699e-12   24
  8.781018e-02   1.583992e-11   0.000000e+00   2.229386e-12   24
  8.997866e-02   1.345958e-11   0.000000e+00   1.674838e-12   48
  9.209610e-02   2.422664e-11   1.404895e-09   4.492051e-12   24
  9.619124e-02   1.344285e-11   1.404895e-09   2.723858e-12   24
  9.817477e-02   1.442499e-11   0.000000e+00   2.281324e-12   30
  1.001190e-01   1.410269e-11   0.000000e+00   1.399099e-12   72
  1.020262e-01   1.452136e-11   1.490116e-09   2.114946e-12   32
  1.057375e-01   9.703080e-12   0.000000e+00   1.643597e-12   72
  1.075451e-01   1.019208e-11   0.000000e+00   1.242608e-12   48
  1.110721e-01   4.382859e-12   0.000000e+00   9.150323e-13   12
  1.127942e-01   1.123652e-11   0.000000e+00   1.478681e-12   48
  1.144905e-01   1.053928e-11   0.000000e+00   1.539091e-12   48
  1.161620e-01   6.784519e-12   1.404895e-09   9.912466e-13   48
  1.178097e-01   7.386315e-12   1.589457e-09   9.798316e-13   30
  1.194348e-01   7.523221e-12   1.404895e-09   1.183222e-12   24
  1.210380e-01   7.680204e-12   2.961779e-09   7.800182e-13   72
  1.241824e-01   6.270278e-12   0.000000e+00   2.245705e-12   24
  1.257251e-01   9.662076e-12   0.000000e+00   9.088069e-13   96
  1.272490e-01   5.009409e-12   0.000000e+00   9.086776e-13   48
  1.287550e-01   6.610629e-12   2.433349e-09   1.127154e-12   24
  1.302436e-01   1.194174e-11   2.433349e-09   2.303426e-12   24
  1.317153e-01   7.395119e-12   0.000000e+00   9.918752e-13   72
  1.331707e-01   7.829828e-12   0.000000e+00   1.109420e-12   48
  1.360350e-01   1.056842e-11   1.490116e-09   2.959325e-12   8
  1.374447e-01   5.979592e-12   1.766064e-09   5.953597e-13   54
  1.388401e-01   5.990554e-12   0.000000e+00   6.950230e-13   84
  1.402216e-01   4.864925e-12   0.000000e+00   6.384867e-13   48
  1.415897e-01   5.272549e-12   1.986821e-09   1.501809e-12   24
  1.429446e-01   5.556405e-12   1.873193e-09   6.055999e-13   72
  1.442869e-01   5.270018e-12   0.000000e+00   4.359831e-13   96
  1.469345e-01   5.855217e-12   0.000000e+00   6.564275e-13   48
  1.482407e-01   5.214527e-12   0.000000e+00   5.586085e-13   48
  1.495354e-01   5.532837e-12   1.986821e-09   1.322839e-12   24
  1.508189e-01   3.958471e-12   0.000000e+00   4.977103e-13   72
  1.533539e-01   4.790867e-12   1.873193e-09   6.326551e-13   72
  1.546058e-01   3.187238e-12   0.000000e+00   2.977919e-13   96
  1.570796e-01   8.183658e-13   0.000000e+00   4.454261e-13   6
  1.583021e-01   3.106222e-12   0.000000e+00   3.526842e-13   96
  1.595151e-01   3.738698e-12   1.986821e-09   2.907856e-13   96
  1.607190e-01   2.762526e-12   0.000000e+00   2.118808e-13   24
  1.619140e-01   3.608793e-12   2.809790e-09   5.522462e-13   48
  1.631002e-01   2.717370e-12   0.000000e+00   2.620900e-13   96
  1.642778e-01   3.117438e-12   0.000000e+00   3.559115e-13   48
