# power spectrum of phi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.314357e-10   0.000000e+00   4.856288e-11   6
  2.776802e-02   1.952974e-10   0.000000e+00   4.288176e-11   12
  3.400874e-02   9.763992e-11   3.725290e-10   2.759995e-11   8
  3.926991e-02   8.234070e-11   0.000000e+00   2.129499e-11   6
  4.390509e-02   6.575429e-11   0.000000e+00   8.387919e-12   24
  4.809562e-02   5.400958e-11   7.024475e-10   1.053085e-11   24
  5.553604e-02   1.493210e-11   0.000000e+00   3.444065e-12   12
  5.890486e-02   3.951486e-11   7.947286e-10   4.334675e-12   30
  6.209118e-02   2.314166e-11   0.000000e+00   4.272961e-12   24
  6.512178e-02   2.828001e-11   1.216675e-09   5.545721e-12   24
  6.801748e-02   5.440041e-11   7.450581e-10   1.920264e-11   8
  7.079483e-02   2.184009e-11   9.934107e-10   4.016402e-12   24
  7.346727e-02   1.818866e-11   0.000000e+00   2.069415e-12   48
  7.853982e-02   1.377301e-11   0.000000e+00   5.592820e-13   6
  8.095699e-02   2.179322e-11   1.404895e-09   2.359094e-12   48
  8.330406e-02   1.899773e-11   0.000000e+00   2.737293e-12   36
  8.558678e-02   9.316494e-12   9.934107e-10   2.516134e-12   24
  8.781018e-02   1.083780e-11   0.000000e+00   1.800403e-12   24
  8.997866e-02   1.203008e-11   0.000000e+00   1.665586e-12   48
  9.209610e-02   1.805758e-11   1.404895e-09   3.459532e-12   24
  9.619124e-02   1.008422e-11   1.404895e-09   2.080185e-12   24
  9.817477e-02   1.170838e-11   0.000000e+00   2.002006e-12   30
  1.001190e-01   1.138785e-11   0.000000e+00   1.146431e-12   72
  1.020262e-01   1.227376e-11   1.490116e-09   1.966265e-12   32
  1.057375e-01   8.584875e-12   0.000000e+00   1.300421e-12   72
  1.075451e-01   8.090718e-12   0.000000e+00   1.047845e-12   48
  1.110721e-01   4.736636e-12   0.000000e+00   8.941319e-13   12
  1.127942e-01   9.158084e-12   0.000000e+00   1.182169e-12   48
  1.144905e-01   8.571182e-12   0.000000e+00   1.216555e-12   48
  1.161620e-01   5.699251e-12   1.404895e-09   8.438876e-13   48
  1.178097e-01   5.736909e-12   1.589457e-09   9.554291e-13   30
  1.194348e-01   6.125906e-12   1.404895e-09   9.205700e-13   24
  1.210380e-01   6.869814e-12   2.961779e-09   6.223619e-13   72
  1.241824e-01   5.768844e-12   0.000000e+00   2.362847e-12   24
  1.257251e-01   7.520836e-12   0.000000e+00   7.070212e-13   96
  1.272490e-01   4.373813e-12   0.000000e+00   7.166272e-13   48
  1.287550e-01   5.106756e-12   2.433349e-09   8.715390e-13   24
  1.302436e-01   9.858453e-12   2.433349e-09   1.610386e-12   24
  1.317153e-01   5.736206e-12   0.000000e+00   7.190399e-13   72
  1.331707e-01   6.013953e-12   0.000000e+00   8.075878e-13   48
  1.360350e-01   7.872758e-12   1.490116e-09   2.923680e-12   8
  1.374447e-01   5.286399e-12   1.766064e-09   4.935393e-13   54
  1.388401e-01   6.151247e-12   0.000000e+00   7.365872e-13   84
  1.402216e-01   3.997686e-12   0.000000e+00   5.552567e-13   48
  1.415897e-01   3.984488e-12   1.986821e-09   1.035199e-12   24
  1.429446e-01   4.273670e-12   1.873193e-09   4.974978e-13   72
  1.442869e-01   3.954397e-12   0.000000e+00   3.444979e-13   96
  1.469345e-01   3.503492e-12   0.000000e+00   3.822360e-13   48
  1.482407e-01   3.377508e-12   0.000000e+00   4.281643e-13   48
  1.495354e-01   2.569147e-12   1.986821e-09   5.516843e-13   24
  1.508189e-01   2.977754e-12   0.000000e+00   3.480293e-13   72
  1.533539e-01   3.425572e-12   1.873193e-09   4.034913e-13   72
  1.546058e-01   2.957456e-12   0.000000e+00   2.619438e-13   96
  1.570796e-01   6.800683e-13   0.000000e+00   2.853013e-13   6
  1.583021e-01   2.977914e-12   0.000000e+00   3.240390e-13   96
  1.595151e-01   2.946447e-12   1.986821e-09   2.470991e-13   96
  1.607190e-01   3.676267e-12   0.000000e+00   6.470901e-13   24
  1.619140e-01   2.794057e-12   2.809790e-09   3.758504e-13   48
  1.631002e-01   2.063143e-12   0.000000e+00   1.975977e-13   96
  1.642778e-01   1.950015e-12   0.000000e+00   2.408580e-13   48
  1.666081e-01   2.788321e-12   0.000000e+00   5.245456e-13   36
  1.677611e-01   1.923879e-12   3.441276e-09   3.575079e-13   48
  1.689063e-01   2.254785e-12   3.893359e-09   2.167332e-13   120
  1.700437e-01   2.807300e-12   0.000000e+00   3.241952e-13   56
  1.711736e-01   1.391420e-12   1.986821e-09   3.334774e-13   24
  1.722960e-01   1.800295e-12   0.000000e+00   1.638131e-13   96
  1.734112e-01   2.573224e-12   0.000000e+00   3.636533e-13   48
  1.756204e-01   1.826693e-12   0.000000e+00   3.577049e-13   24
  1.767146e-01   2.479325e-12   0.000000e+00   2.252689e-13   102
  1.778021e-01   2.795824e-12   0.000000e+00   5.751074e-13   48
  1.788829e-01   2.881191e-12   0.000000e+00   2.638409e-13   72
  1.799573e-01   1.868468e-12   0.000000e+00   2.876751e-13   48
  1.810253e-01   2.763332e-12   0.000000e+00   4.744722e-13   48
  1.820871e-01   2.217465e-12   4.495664e-09   2.112470e-13   120
