# power spectrum of B
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.565455e-17   0.000000e+00   7.647153e-18   6
  2.776802e-02   5.237441e-17   0.000000e+00   6.656335e-18   12
  3.400874e-02   3.538613e-17   3.725290e-10   1.289778e-17   8
  3.926991e-02   4.063995e-17   0.000000e+00   8.658277e-18   6
  4.390509e-02   6.582801e-17   0.000000e+00   9.279901e-18   24
  4.809562e-02   3.368963e-17   7.024475e-10   3.708319e-18   24
  5.553604e-02   3.010434e-17   0.000000e+00   3.966744e-18   12
  5.890486e-02   4.007653e-17   7.947286e-10   6.092444e-18   30
  6.209118e-02   3.896626e-17   0.000000e+00   4.267925e-18   24
  6.512178e-02   6.284850e-17   1.216675e-09   9.421761e-18   24
  6.801748e-02   3.952084e-17   7.450581e-10   9.251313e-18   8
  7.079483e-02   2.488555e-17   9.934107e-10   3.465732e-18   24
  7.346727e-02   3.735810e-17   0.000000e+00   3.510006e-18   48
  7.853982e-02   2.695789e-17   0.000000e+00   1.934688e-18   6
  8.095699e-02   3.072629e-17   1.404895e-09   3.154810e-18   48
  8.330406e-02   3.675123e-17   0.000000e+00   2.950430e-18   36
  8.558678e-02   1.841560e-17   9.934107e-10   2.943017e-18   24
  8.781018e-02   2.737955e-17   0.000000e+00   4.063658e-18   24
  8.997866e-02   2.322918e-17   0.000000e+00   1.889917e-18   48
  9.209610e-02   2.135602e-17   1.404895e-09   2.352641e-18   24
  9.619124e-02   1.952593e-17   1.404895e-09   2.806343e-18   24
  9.817477e-02   2.201847e-17   0.000000e+00   2.319577e-18   30
  1.001190e-01   2.189020e-17   0.000000e+00   1.766167e-18   72
  1.020262e-01   3.106434e-17   1.490116e-09   3.726059e-18   32
  1.057375e-01   2.265943e-17   0.000000e+00   1.615495e-18   72
  1.075451e-01   2.034484e-17   0.000000e+00   1.985713e-18   48
  1.110721e-01   6.785182e-18   0.000000e+00   1.128137e-18   12
  1.127942e-01   1.808197e-17   0.000000e+00   1.698712e-18   48
  1.144905e-01   1.491036e-17   0.000000e+00   1.484740e-18   48
  1.161620e-01   1.260426e-17   1.404895e-09   1.292100e-18   48
  1.178097e-01   1.448568e-17   1.589457e-09   1.921528e-18   30
  1.194348e-01   1.571893e-17   1.404895e-09   3.059601e-18   24
  1.210380e-01   1.560327e-17   2.961779e-09   1.293277e-18   72
  1.241824e-01   2.105378e-17   0.000000e+00   3.394153e-18   24
  1.257251e-01   1.595357e-17   0.000000e+00   1.028832e-18   96
  1.272490e-01   1.363337e-17   0.000000e+00   1.210125e-18   48
  1.287550e-01   1.414394e-17   2.433349e-09   1.129904e-18   24
  1.302436e-01   1.534453e-17   2.433349e-09   2.160411e-18   24
  1.317153e-01   1.584011e-17   0.000000e+00   1.502315e-18   72
  1.331707e-01   1.293722e-17   0.000000e+00   1.245031e-18   48
  1.360350e-01   1.096736e-17   1.490116e-09   1.019123e-18   8
  1.374447e-01   1.002694e-17   1.766064e-09   1.220107e-18   54
  1.388401e-01   1.055894e-17   0.000000e+00   7.795777e-19   84
  1.402216e-01   9.718397e-18   0.000000e+00   6.917860e-19   48
  1.415897e-01   1.741884e-17   1.986821e-09   1.924140e-18   24
  1.429446e-01   1.302529e-17   1.873193e-09   9.588197e-19   72
  1.442869e-01   1.014855e-17   0.000000e+00   6.912436e-19   96
  1.469345e-01   7.197554e-18   0.000000e+00   5.984048e-19   48
  1.482407e-01   1.072317e-17   0.000000e+00   9.664099e-19   48
  1.495354e-01   1.068495e-17   1.986821e-09   1.275377e-18   24
  1.508189e-01   1.009380e-17   0.000000e+00   7.028488e-19   72
  1.533539e-01   9.170930e-18   1.873193e-09   8.346695e-19   72
  1.546058e-01   8.380787e-18   0.000000e+00   5.764023e-19   96
  1.570796e-01   7.897558e-18   0.000000e+00   1.321940e-18   6
  1.583021e-01   8.967481e-18   0.000000e+00   7.164337e-19   96
  1.595151e-01   7.272184e-18   1.986821e-09   4.558776e-19   96
  1.607190e-01   8.549961e-18   0.000000e+00   1.188916e-18   24
  1.619140e-01   8.182866e-18   2.809790e-09   8.708492e-19   48
  1.631002e-01   6.812467e-18   0.000000e+00   4.647681e-19   96
  1.642778e-01   7.423175e-18   0.000000e+00   6.145061e-19   48
  1.666081e-01   6.888945e-18   0.000000e+00   7.646899e-19   36
  1.677611e-01   7.235581e-18   3.441276e-09   7.443959e-19   48
  1.689063e-01   7.993849e-18   3.893359e-09   5.538643e-19   120
  1.700437e-01   5.509144e-18   0.000000e+00   5.313904e-19   56
  1.711736e-01   6.809463e-18   1.986821e-09   6.639762e-19   24
  1.722960e-01   7.184164e-18   0.000000e+00   6.135289e-19   96
  1.734112e-01   7.309123e-18   0.000000e+00   8.038447e-19   48
  1.756204e-01   9.221945e-18   0.000000e+00   1.281296e-18   24
  1.767146e-01   6.709252e-18   0.000000e+00   5.046611e-19   102
