# power spectrum of hij
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   3.617855e-19   0.000000e+00   1.252253e-19   6
  2.776802e-02   2.442157e-19   0.000000e+00   2.317824e-20   12
  3.400874e-02   1.067498e-19   3.725290e-10   1.155469e-20   8
  3.926991e-02   9.887591e-20   0.000000e+00   1.037106e-20   6
  4.390509e-02   8.058251e-20   0.000000e+00   8.477394e-21   24
  4.809562e-02   3.542688e-20   7.024475e-10   6.093767e-21   24
  5.553604e-02   3.635366e-20   0.000000e+00   4.643516e-21   12
  5.890486e-02   1.537172e-20   7.947286e-10   1.424960e-21   30
  6.209118e-02   1.652446e-20   0.000000e+00   2.480511e-21   24
  6.512178e-02   1.897342e-20   1.216675e-09   2.933947e-21   24
  6.801748e-02   1.102479e-20   7.450581e-10   1.922651e-21   8
  7.079483e-02   9.991043e-21   9.934107e-10   1.213867e-21   24
  7.346727e-02   8.880948e-21   0.000000e+00   8.425820e-22   48
  7.853982e-02   9.040932e-21   0.000000e+00   1.193997e-21   6
  8.095699e-02   5.499859e-21   1.404895e-09   5.965770e-22   48
  8.330406e-02   6.338001e-21   0.000000e+00   7.050168e-22   36
  8.558678e-02   4.858288e-21   9.934107e-10   8.223739e-22   24
  8.781018e-02   5.028378e-21   0.000000e+00   8.192285e-22   24
  8.997866e-02   3.639829e-21   0.000000e+00   4.010759e-22   48
  9.209610e-02   4.108068e-21   1.404895e-09   5.337391e-22   24
  9.619124e-02   2.645047e-21   1.404895e-09   3.294925e-22   24
  9.817477e-02   3.554321e-21   0.000000e+00   6.135461e-22   30
  1.001190e-01   2.187236e-21   0.000000e+00   1.613382e-22   72
  1.020262e-01   2.024524e-21   1.490116e-09   1.917845e-22   32
  1.057375e-01   2.077601e-21   0.000000e+00   1.818563e-22   72
  1.075451e-01   1.676637e-21   0.000000e+00   1.608491e-22   48
  1.110721e-01   1.741097e-21   0.000000e+00   4.000314e-22   12
  1.127942e-01   1.402315e-21   0.000000e+00   1.163907e-22   48
  1.144905e-01   1.541909e-21   0.000000e+00   1.186608e-22   48
  1.161620e-01   1.215450e-21   1.404895e-09   1.243774e-22   48
  1.178097e-01   1.239760e-21   1.589457e-09   1.655992e-22   30
  1.194348e-01   1.080153e-21   1.404895e-09   9.993166e-23   24
  1.210380e-01   1.137608e-21   2.961779e-09   8.264644e-23   72
  1.241824e-01   8.072516e-22   0.000000e+00   1.165623e-22   24
