# power spectrum of phi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.047049e-01   1.281749e-12   4.350048e-04   1.161765e-13   104
  2.059331e-01   1.755347e-12   3.746387e-09   1.469655e-13   144
  2.087224e-01   1.855375e-12   6.282881e-09   1.994884e-13   96
  2.096439e-01   1.188475e-12   0.000000e+00   1.239944e-13   96
  2.111095e-01   1.225378e-12   4.475232e-04   1.231241e-13   120
  2.123845e-01   1.179835e-12   0.000000e+00   1.287154e-13   120
  2.132902e-01   1.625221e-12   0.000000e+00   1.825804e-13   72
  2.150901e-01   1.775022e-12   0.000000e+00   2.105487e-13   48
  2.159845e-01   1.081261e-12   4.235416e-09   1.143168e-13   78
  2.171286e-01   1.086276e-12   4.007142e-04   8.729005e-14   168
  2.195255e-01   1.297137e-12   3.746387e-09   1.187983e-13   144
  2.204018e-01   1.431418e-12   3.746387e-09   1.091514e-13   144
  2.229436e-01   1.329582e-12   2.307791e-04   1.057332e-13   156
  2.238729e-01   1.131644e-12   4.866699e-09   1.845604e-13   48
  2.247323e-01   1.115225e-12   3.178914e-09   1.248846e-13   120
  2.255884e-01   1.177731e-12   0.000000e+00   1.475603e-13   48
  2.271022e-01   8.918877e-13   3.532495e-04   5.534201e-14   216
  2.289809e-01   7.587566e-13   0.000000e+00   1.112859e-13   48
  2.298212e-01   8.178607e-13   2.809790e-09   1.253676e-13   96
  2.310160e-01   8.601725e-13   4.128272e-04   8.232369e-14   168
  2.323239e-01   7.668105e-13   2.809790e-09   1.073308e-13   48
  2.331522e-01   8.717267e-13   0.000000e+00   9.170033e-14   96
  2.339775e-01   6.244731e-13   0.000000e+00   1.054440e-13   48
  2.356194e-01   7.804181e-13   3.178914e-09   1.007709e-13   30
  2.364362e-01   1.147780e-12   2.809790e-09   1.538736e-13   96
  2.374123e-01   8.741877e-13   3.244455e-04   5.428860e-14   240
  2.386674e-01   1.141076e-12   3.500299e-04   2.689064e-13   32
  2.396752e-01   6.737721e-13   0.000000e+00   4.098436e-14   168
