# power spectrum of chi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   8.345511e-20   0.000000e+00   2.888378e-20   6
  2.776802e-02   1.324534e-19   0.000000e+00   3.690595e-20   12
  3.400874e-02   8.233359e-20   3.725290e-10   1.661403e-20   8
  3.926991e-02   5.751250e-20   0.000000e+00   2.000074e-20   6
  4.390509e-02   7.637047e-20   0.000000e+00   1.894213e-20   24
  4.809562e-02   6.482978e-20   7.024475e-10   1.026124e-20   24
  5.553604e-02   3.142025e-20   0.000000e+00   1.197862e-20   12
  5.890486e-02   3.659532e-20   7.947286e-10   5.413735e-21   30
  6.209118e-02   2.268539e-20   0.000000e+00   3.303657e-21   24
  6.512178e-02   1.529152e-20   1.216675e-09   4.171608e-21   24
  6.801748e-02   3.295484e-20   7.450581e-10   6.065324e-21   8
  7.079483e-02   1.513158e-20   9.934107e-10   2.936279e-21   24
  7.346727e-02   1.243252e-20   0.000000e+00   1.670919e-21   48
  7.853982e-02   1.163802e-20   0.000000e+00   6.021669e-22   6
  8.095699e-02   1.142298e-20   1.404895e-09   1.133986e-21   48
  8.330406e-02   7.200803e-21   0.000000e+00   1.315697e-21   36
  8.558678e-02   6.962634e-21   9.934107e-10   1.617955e-21   24
  8.781018e-02   7.355046e-21   0.000000e+00   1.118789e-21   24
  8.997866e-02   6.476933e-21   0.000000e+00   9.716203e-22   48
  9.209610e-02   1.330384e-20   1.404895e-09   2.637450e-21   24
  9.619124e-02   7.743873e-21   1.404895e-09   1.539444e-21   24
  9.817477e-02   4.199900e-21   0.000000e+00   1.119960e-21   30
  1.001190e-01   4.887065e-21   0.000000e+00   3.644973e-22   72
  1.020262e-01   3.256279e-21   1.490116e-09   5.726417e-22   32
  1.057375e-01   5.402088e-21   0.000000e+00   5.589485e-22   72
  1.075451e-01   3.094194e-21   0.000000e+00   4.177431e-22   48
  1.110721e-01   3.094355e-21   0.000000e+00   3.473301e-22   12
  1.127942e-01   3.140126e-21   0.000000e+00   4.292055e-22   48
  1.144905e-01   3.176574e-21   0.000000e+00   4.073175e-22   48
  1.161620e-01   1.456827e-21   1.404895e-09   1.880516e-22   48
  1.178097e-01   2.540340e-21   1.589457e-09   3.703895e-22   30
  1.194348e-01   1.247549e-21   1.404895e-09   2.746489e-22   24
  1.210380e-01   2.546372e-21   2.961779e-09   3.381701e-22   72
  1.241824e-01   1.781192e-21   0.000000e+00   2.277465e-22   24
  1.257251e-01   1.514707e-21   0.000000e+00   1.418243e-22   96
  1.272490e-01   2.015056e-21   0.000000e+00   2.300107e-22   48
  1.287550e-01   2.519997e-21   2.433349e-09   3.554221e-22   24
  1.302436e-01   1.750344e-21   2.433349e-09   2.490894e-22   24
  1.317153e-01   1.572883e-21   0.000000e+00   1.725644e-22   72
  1.331707e-01   1.414957e-21   0.000000e+00   1.633913e-22   48
  1.360350e-01   9.690127e-22   1.490116e-09   2.997726e-22   8
  1.374447e-01   1.301225e-21   1.766064e-09   1.672769e-22   54
  1.388401e-01   1.837710e-21   0.000000e+00   2.340833e-22   84
  1.402216e-01   1.137122e-21   0.000000e+00   1.656198e-22   48
  1.415897e-01   1.193700e-21   1.986821e-09   2.019271e-22   24
  1.429446e-01   9.836182e-22   1.873193e-09   1.173796e-22   72
  1.442869e-01   1.189070e-21   0.000000e+00   9.616095e-23   96
  1.469345e-01   1.037449e-21   0.000000e+00   1.302861e-22   48
  1.482407e-01   7.969370e-22   0.000000e+00   1.003840e-22   48
  1.495354e-01   1.292784e-21   1.986821e-09   3.111702e-22   24
  1.508189e-01   1.046731e-21   0.000000e+00   1.207381e-22   72
