# power spectrum of hij
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   5.020526e-19   0.000000e+00   1.863390e-19   6
  2.776802e-02   3.250074e-19   0.000000e+00   3.009635e-20   12
  3.400874e-02   1.412849e-19   3.725290e-10   1.714763e-20   8
  3.926991e-02   1.229215e-19   0.000000e+00   1.577165e-20   6
  4.390509e-02   9.926900e-20   0.000000e+00   9.817405e-21   24
  4.809562e-02   4.129275e-20   7.024475e-10   6.679129e-21   24
  5.553604e-02   4.421026e-20   0.000000e+00   5.689177e-21   12
  5.890486e-02   2.035020e-20   7.947286e-10   1.742178e-21   30
  6.209118e-02   1.781976e-20   0.000000e+00   2.298497e-21   24
  6.512178e-02   2.080795e-20   1.216675e-09   2.719042e-21   24
  6.801748e-02   1.215413e-20   7.450581e-10   3.708825e-21   8
  7.079483e-02   1.215512e-20   9.934107e-10   1.437135e-21   24
  7.346727e-02   1.038101e-20   0.000000e+00   9.802881e-22   48
  7.853982e-02   9.276988e-21   0.000000e+00   1.649639e-21   6
  8.095699e-02   7.096081e-21   1.404895e-09   6.620028e-22   48
  8.330406e-02   7.406995e-21   0.000000e+00   8.469072e-22   36
  8.558678e-02   5.484401e-21   9.934107e-10   8.999600e-22   24
  8.781018e-02   5.584701e-21   0.000000e+00   7.906264e-22   24
  8.997866e-02   3.773883e-21   0.000000e+00   4.018518e-22   48
  9.209610e-02   4.495278e-21   1.404895e-09   6.763937e-22   24
  9.619124e-02   3.156133e-21   1.404895e-09   3.821784e-22   24
  9.817477e-02   4.082017e-21   0.000000e+00   5.980748e-22   30
  1.001190e-01   2.293577e-21   0.000000e+00   1.971308e-22   72
  1.020262e-01   2.462038e-21   1.490116e-09   2.569201e-22   32
  1.057375e-01   2.515267e-21   0.000000e+00   2.155730e-22   72
  1.075451e-01   2.059181e-21   0.000000e+00   1.997335e-22   48
  1.110721e-01   1.430130e-21   0.000000e+00   3.092375e-22   12
  1.127942e-01   1.451703e-21   0.000000e+00   1.125645e-22   48
  1.144905e-01   1.589642e-21   0.000000e+00   9.675270e-23   48
  1.161620e-01   1.363323e-21   1.404895e-09   1.150645e-22   48
  1.178097e-01   1.122380e-21   1.589457e-09   1.793573e-22   30
  1.194348e-01   1.270602e-21   1.404895e-09   1.413926e-22   24
  1.210380e-01   1.109425e-21   2.961779e-09   8.354593e-23   72
  1.241824e-01   7.534711e-22   0.000000e+00   7.946726e-23   24
  1.257251e-01   8.317348e-22   0.000000e+00   5.727535e-23   96
  1.272490e-01   9.487283e-22   0.000000e+00   6.901626e-23   48
  1.287550e-01   6.196953e-22   2.433349e-09   6.101777e-23   24
  1.302436e-01   7.626127e-22   2.433349e-09   8.426015e-23   24
  1.317153e-01   7.008670e-22   0.000000e+00   4.545975e-23   72
  1.331707e-01   8.639116e-22   0.000000e+00   5.767625e-23   48
  1.360350e-01   5.363380e-22   1.490116e-09   8.195510e-23   8
  1.374447e-01   5.492123e-22   1.766064e-09   6.320633e-23   54
  1.388401e-01   5.101423e-22   0.000000e+00   3.964469e-23   84
  1.402216e-01   4.672296e-22   0.000000e+00   6.473648e-23   48
  1.415897e-01   5.543274e-22   1.986821e-09   5.070812e-23   24
  1.429446e-01   4.250891e-22   1.873193e-09   4.422674e-23   72
  1.442869e-01   4.040679e-22   0.000000e+00   3.830452e-23   96
  1.469345e-01   3.871039e-22   0.000000e+00   2.663325e-23   48
  1.482407e-01   4.528648e-22   0.000000e+00   3.956124e-23   48
  1.495354e-01   2.785235e-22   1.986821e-09   4.880759e-23   24
  1.508189e-01   3.772584e-22   0.000000e+00   2.575819e-23   72
  1.533539e-01   3.092797e-22   1.873193e-09   3.321092e-23   72
  1.546058e-01   2.657325e-22   0.000000e+00   1.697932e-23   96
  1.570796e-01   2.508108e-22   0.000000e+00   4.564775e-23   6
  1.583021e-01   2.707522e-22   0.000000e+00   2.045081e-23   96
  1.595151e-01   2.907003e-22   1.986821e-09   1.830742e-23   96
  1.607190e-01   3.259033e-22   0.000000e+00   2.589945e-23   24
  1.619140e-01   2.586596e-22   2.809790e-09   2.274660e-23   48
  1.631002e-01   1.967205e-22   0.000000e+00   1.513803e-23   96
  1.642778e-01   2.031203e-22   0.000000e+00   1.650034e-23   48
  1.666081e-01   2.306561e-22   0.000000e+00   2.499128e-23   36
  1.677611e-01   2.103286e-22   3.441276e-09   1.843759e-23   48
  1.689063e-01   1.815474e-22   3.893359e-09   1.154963e-23   120
  1.700437e-01   1.836115e-22   0.000000e+00   2.131368e-23   56
  1.711736e-01   1.911449e-22   1.986821e-09   2.890766e-23   24
  1.722960e-01   1.715548e-22   0.000000e+00   1.620241e-23   96
  1.734112e-01   1.655470e-22   0.000000e+00   1.979227e-23   48
  1.756204e-01   2.042480e-22   0.000000e+00   3.013050e-23   24
  1.767146e-01   1.426686e-22   0.000000e+00   9.743299e-24   102
  1.778021e-01   1.680775e-22   0.000000e+00   1.853754e-23   48
  1.788829e-01   1.527850e-22   0.000000e+00   1.151357e-23   72
  1.799573e-01   1.285488e-22   0.000000e+00   1.570798e-23   48
  1.810253e-01   1.550859e-22   0.000000e+00   1.477672e-23   48
  1.820871e-01   1.501238e-22   4.495664e-09   1.020933e-23   120
  1.841922e-01   1.033570e-22   2.809790e-09   1.528809e-23   24
  1.852358e-01   1.169498e-22   2.649095e-09   7.436470e-24   144
  1.862735e-01   1.142553e-22   3.178914e-09   7.058950e-24   120
  1.873055e-01   1.169983e-22   2.809790e-09   9.460232e-24   48
  1.893526e-01   1.108787e-22   2.809790e-09   9.491099e-24   48
  1.903679e-01   9.314579e-23   2.809790e-09   6.113234e-24   96
  1.930487e-01   8.090523e-23   4.711199e-04   5.858952e-24   72
  1.943761e-01   8.330236e-23   3.532127e-09   4.685827e-24   108
  1.953653e-01   8.341491e-23   0.000000e+00   6.855792e-24   72
  1.963495e-01   7.253268e-23   0.000000e+00   4.243641e-24   30
  1.973288e-01   8.507364e-23   0.000000e+00   3.876925e-24   168
  1.983033e-01   6.428761e-23   0.000000e+00   6.870429e-24   48
  2.002380e-01   7.402497e-23   0.000000e+00   6.087744e-24   72
  2.011984e-01   6.776285e-23   0.000000e+00   4.379672e-24   96
  2.021542e-01   7.795559e-23   5.298191e-09   5.309352e-24   72
  2.031055e-01   6.583845e-23   0.000000e+00   3.132082e-24   72
  2.047049e-01   6.018055e-23   4.350048e-04   4.268872e-24   104
  2.059331e-01   6.174955e-23   3.746387e-09   4.963404e-24   144
  2.087224e-01   5.829974e-23   6.282881e-09   3.123394e-24   96
  2.096439e-01   5.632742e-23   0.000000e+00   4.604943e-24   96
  2.111095e-01   6.114862e-23   4.475232e-04   3.547193e-24   120
  2.123845e-01   5.512288e-23   0.000000e+00   3.428092e-24   120
  2.132902e-01   6.277100e-23   0.000000e+00   5.355992e-24   72
  2.150901e-01   5.693714e-23   0.000000e+00   5.526325e-24   48
  2.159845e-01   5.993180e-23   4.235416e-09   4.345064e-24   78
  2.171286e-01   4.976655e-23   4.007142e-04   2.384845e-24   168
  2.195255e-01   4.826286e-23   3.746387e-09   2.991072e-24   144
  2.204018e-01   4.099802e-23   3.746387e-09   2.385869e-24   144
  2.229436e-01   4.027422e-23   2.307791e-04   2.599801e-24   156
  2.238729e-01   4.392869e-23   4.866699e-09   5.270471e-24   48
  2.247323e-01   3.984667e-23   3.178914e-09   2.289209e-24   120
  2.255884e-01   3.694406e-23   0.000000e+00   3.315330e-24   48
  2.271022e-01   3.508675e-23   3.532495e-04   1.968869e-24   216
  2.289809e-01   3.436279e-23   0.000000e+00   2.466470e-24   48
  2.298212e-01   3.519176e-23   2.809790e-09   2.395177e-24   96
  2.310160e-01   3.260352e-23   4.128272e-04   1.692787e-24   168
  2.323239e-01   2.280199e-23   2.809790e-09   2.499144e-24   48
  2.331522e-01   3.335607e-23   0.000000e+00   1.847707e-24   96
  2.339775e-01   3.700927e-23   0.000000e+00   3.277800e-24   48
  2.356194e-01   4.370959e-23   3.178914e-09   4.367330e-24   30
  2.364362e-01   2.829259e-23   2.809790e-09   1.971558e-24   96
  2.374123e-01   2.764123e-23   3.244455e-04   1.293914e-24   240
  2.386674e-01   3.087237e-23   3.500299e-04   4.270661e-24   32
  2.396752e-01   2.782834e-23   0.000000e+00   1.414209e-24   168
  2.404781e-01   2.251714e-23   0.000000e+00   1.362633e-24   120
  2.420760e-01   2.384954e-23   5.923557e-09   2.406167e-24   72
  2.428710e-01   2.269104e-23   3.746387e-09   1.282463e-24   144
  2.436634e-01   2.331484e-23   0.000000e+00   1.705483e-24   96
  2.444532e-01   2.318963e-23   0.000000e+00   1.527222e-24   96
  2.460253e-01   2.635883e-23   4.588368e-09   2.356396e-24   72
  2.468075e-01   2.110974e-23   3.973643e-09   1.817652e-24   96
  2.483647e-01   1.743254e-23   0.000000e+00   2.238773e-24   24
  2.491396e-01   1.710428e-23   0.000000e+00   8.076287e-25   192
  2.500522e-01   1.989309e-23   2.970416e-04   1.180999e-24   132
  2.514501e-01   1.643721e-23   0.000000e+00   9.314681e-25   96
  2.522156e-01   1.965645e-23   0.000000e+00   1.227391e-24   96
  2.529787e-01   1.751914e-23   3.178914e-09   1.314099e-24   120
  2.544981e-01   1.491978e-23   0.000000e+00   1.159664e-24   48
  2.557435e-01   1.915610e-23   3.599905e-04   8.985211e-25   222
  2.567603e-01   1.803556e-23   0.000000e+00   1.250149e-24   120
  2.575100e-01   2.009028e-23   4.866699e-09   2.638932e-24   24
  2.586015e-01   1.704668e-23   3.715625e-04   7.132793e-25   312
  2.609797e-01   1.256510e-23   3.483547e-04   8.412522e-25   72
  2.619630e-01   1.881802e-23   2.809790e-09   1.482556e-24   96
  2.629726e-01   1.476523e-23   3.547511e-04   7.694329e-25   192
  2.641613e-01   1.558527e-23   4.495664e-09   8.799825e-25   120
  2.648900e-01   1.328971e-23   0.000000e+00   7.876136e-25   144
  2.663415e-01   1.335432e-23   0.000000e+00   8.294614e-25   48
  2.673732e-01   1.311490e-23   3.567146e-04   5.188139e-25   336
  2.685040e-01   1.142279e-23   0.000000e+00   8.802438e-25   48
  2.699360e-01   1.322001e-23   0.000000e+00   5.990046e-25   192
  2.706492e-01   1.498544e-23   0.000000e+00   1.416077e-24   48
  2.726764e-01   1.264097e-23   2.476067e-04   9.000461e-25   56
  2.736844e-01   1.151352e-23   3.180112e-04   4.646011e-25   336
  2.748894e-01   1.415580e-23   3.532127e-09   1.052852e-24   54
  2.759390e-01   1.178407e-23   3.492904e-04   5.832413e-25   240
  2.781181e-01   1.075598e-23   3.344484e-04   5.012169e-25   228
  2.790651e-01   1.112460e-23   3.746387e-09   1.036898e-24   72
  2.799844e-01   9.657805e-24   3.244231e-04   6.814141e-25   144
  2.811298e-01   1.217346e-23   0.000000e+00   8.263544e-25   96
  2.818146e-01   9.630086e-24   4.495664e-09   3.837045e-25   240
  2.831793e-01   9.703192e-24   3.973643e-09   1.572745e-24   24
  2.840530e-01   9.035160e-24   3.064151e-04   4.201964e-25   336
  2.852142e-01   9.682045e-24   0.000000e+00   9.795869e-25   72
  2.862741e-01   9.182573e-24   3.332831e-04   5.796460e-25   168
  2.872346e-01   1.230481e-23   0.000000e+00   8.050611e-25   72
  2.885737e-01   9.564146e-24   0.000000e+00   6.838588e-25   96
  2.896108e-01   7.528875e-24   3.307829e-04   3.580200e-25   216
  2.905708e-01   8.464813e-24   3.973643e-09   5.533568e-25   96
  2.918946e-01   7.248507e-24   0.000000e+00   3.804487e-25   192
  2.925542e-01   1.003490e-23   3.746387e-09   5.061962e-25   144
  2.938691e-01   6.253819e-24   0.000000e+00   5.572069e-25   48
  2.947794e-01   7.919154e-24   3.189136e-04   3.621988e-25   246
  2.960164e-01   8.136608e-24   2.940434e-04   4.113738e-25   168
  2.971308e-01   8.342394e-24   5.506041e-09   4.714885e-25   120
  2.977788e-01   7.154656e-24   0.000000e+00   3.756752e-25   240
  2.990707e-01   7.219438e-24   3.973643e-09   1.095155e-24   24
  3.001001e-01   6.734599e-24   3.147475e-04   2.363014e-25   360
  3.013820e-01   7.678491e-24   3.134082e-04   5.216667e-25   120
  3.022763e-01   5.911502e-24   0.000000e+00   3.127012e-25   144
  3.029133e-01   5.801844e-24   0.000000e+00   3.681644e-25   96
  3.048165e-01   5.691323e-24   0.000000e+00   3.746603e-25   144
  3.054482e-01   6.348885e-24   0.000000e+00   3.958949e-25   132
  3.063360e-01   7.183991e-24   3.093292e-04   4.063120e-25   176
  3.076248e-01   5.624599e-24   3.123602e-04   2.095827e-25   312
  3.092116e-01   5.074634e-24   0.000000e+00   4.157992e-25   96
  3.098343e-01   5.055382e-24   0.000000e+00   2.660610e-25   144
  3.107899e-01   5.367019e-24   3.092271e-04   2.519944e-25   312
  3.123131e-01   5.498410e-24   0.000000e+00   4.974179e-25   48
  3.129297e-01   5.268050e-24   3.973643e-09   2.610177e-25   192
  3.141593e-01   4.168031e-24   0.000000e+00   4.363874e-25   6
  3.149762e-01   5.061841e-24   2.884066e-04   2.112710e-25   288
  3.162994e-01   5.256635e-24   3.047203e-04   2.987891e-25   192
  3.172124e-01   5.368563e-24   7.064254e-09   2.509049e-25   216
  3.178195e-01   5.353515e-24   0.000000e+00   6.062870e-25   72
  3.193321e-01   6.431051e-24   3.018264e-04   3.297960e-25   192
