# power spectrum of chi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   7.444994e-20   0.000000e+00   2.601237e-20   6
  2.776802e-02   1.128709e-19   0.000000e+00   3.292559e-20   12
  3.400874e-02   7.394258e-20   3.725290e-10   1.526460e-20   8
  3.926991e-02   4.657940e-20   0.000000e+00   1.726109e-20   6
  4.390509e-02   6.313899e-20   0.000000e+00   1.563721e-20   24
  4.809562e-02   5.471020e-20   7.024475e-10   8.343311e-21   24
  5.553604e-02   2.514860e-20   0.000000e+00   9.868369e-21   12
  5.890486e-02   2.978148e-20   7.947286e-10   4.237090e-21   30
  6.209118e-02   1.976010e-20   0.000000e+00   2.876234e-21   24
  6.512178e-02   1.285522e-20   1.216675e-09   3.599449e-21   24
  6.801748e-02   2.459261e-20   7.450581e-10   3.387872e-21   8
  7.079483e-02   1.197415e-20   9.934107e-10   2.075188e-21   24
  7.346727e-02   1.050358e-20   0.000000e+00   1.203214e-21   48
  7.853982e-02   9.916993e-21   0.000000e+00   3.267059e-22   6
  8.095699e-02   9.355005e-21   1.404895e-09   8.770551e-22   48
  8.330406e-02   5.789528e-21   0.000000e+00   1.003488e-21   36
  8.558678e-02   6.269640e-21   9.934107e-10   1.531793e-21   24
  8.781018e-02   6.559019e-21   0.000000e+00   8.645483e-22   24
  8.997866e-02   5.414293e-21   0.000000e+00   6.860517e-22   48
  9.209610e-02   1.016339e-20   1.404895e-09   1.939728e-21   24
  9.619124e-02   5.457479e-21   1.404895e-09   1.146807e-21   24
  9.817477e-02   3.479533e-21   0.000000e+00   8.906017e-22   30
  1.001190e-01   4.399236e-21   0.000000e+00   2.927973e-22   72
  1.020262e-01   2.556692e-21   1.490116e-09   4.421178e-22   32
  1.057375e-01   4.322064e-21   0.000000e+00   4.719105e-22   72
  1.075451e-01   2.534153e-21   0.000000e+00   3.270530e-22   48
  1.110721e-01   1.958868e-21   0.000000e+00   3.659720e-22   12
  1.127942e-01   2.471563e-21   0.000000e+00   4.046249e-22   48
  1.144905e-01   2.660036e-21   0.000000e+00   3.560969e-22   48
  1.161620e-01   1.075494e-21   1.404895e-09   1.499970e-22   48
  1.178097e-01   2.635335e-21   1.589457e-09   3.925822e-22   30
  1.194348e-01   1.373507e-21   1.404895e-09   3.590901e-22   24
  1.210380e-01   1.945564e-21   2.961779e-09   2.180791e-22   72
  1.241824e-01   1.569675e-21   0.000000e+00   2.034813e-22   24
  1.257251e-01   1.366828e-21   0.000000e+00   1.243964e-22   96
  1.272490e-01   1.537810e-21   0.000000e+00   1.733780e-22   48
  1.287550e-01   2.423352e-21   2.433349e-09   2.818817e-22   24
  1.302436e-01   1.526828e-21   2.433349e-09   2.435770e-22   24
  1.317153e-01   1.488288e-21   0.000000e+00   1.485084e-22   72
