# power spectrum of B
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.882140e-16   0.000000e+00   1.816173e-17   6
  2.776802e-02   1.737479e-16   0.000000e+00   2.357228e-17   12
  3.400874e-02   1.313449e-16   3.725290e-10   4.304706e-17   8
  3.926991e-02   1.380461e-16   0.000000e+00   3.247407e-17   6
  4.390509e-02   2.241139e-16   0.000000e+00   3.025354e-17   24
  4.809562e-02   1.215291e-16   7.024475e-10   1.048583e-17   24
  5.553604e-02   1.130142e-16   0.000000e+00   1.498752e-17   12
  5.890486e-02   1.438001e-16   7.947286e-10   2.564972e-17   30
  6.209118e-02   1.335537e-16   0.000000e+00   1.358045e-17   24
  6.512178e-02   1.971486e-16   1.216675e-09   2.856406e-17   24
  6.801748e-02   1.367657e-16   7.450581e-10   3.031209e-17   8
  7.079483e-02   8.553069e-17   9.934107e-10   1.086530e-17   24
  7.346727e-02   1.368509e-16   0.000000e+00   1.256159e-17   48
  7.853982e-02   1.077427e-16   0.000000e+00   1.672721e-17   6
  8.095699e-02   1.096345e-16   1.404895e-09   1.090292e-17   48
  8.330406e-02   1.294667e-16   0.000000e+00   9.611819e-18   36
  8.558678e-02   7.004918e-17   9.934107e-10   1.081200e-17   24
  8.781018e-02   1.164080e-16   0.000000e+00   1.763990e-17   24
  8.997866e-02   8.077520e-17   0.000000e+00   6.886096e-18   48
  9.209610e-02   5.600052e-17   1.404895e-09   7.195730e-18   24
  9.619124e-02   6.469694e-17   1.404895e-09   9.448789e-18   24
  9.817477e-02   7.538384e-17   0.000000e+00   1.010058e-17   30
  1.001190e-01   8.347659e-17   0.000000e+00   6.088955e-18   72
  1.020262e-01   1.122095e-16   1.490116e-09   1.128380e-17   32
  1.057375e-01   8.304963e-17   0.000000e+00   5.922827e-18   72
  1.075451e-01   6.667125e-17   0.000000e+00   7.181563e-18   48
  1.110721e-01   3.313679e-17   0.000000e+00   4.644852e-18   12
  1.127942e-01   5.879489e-17   0.000000e+00   4.281297e-18   48
  1.144905e-01   6.055556e-17   0.000000e+00   5.596975e-18   48
  1.161620e-01   5.255868e-17   1.404895e-09   3.922217e-18   48
  1.178097e-01   5.633961e-17   1.589457e-09   3.949427e-18   30
  1.194348e-01   4.475459e-17   1.404895e-09   7.750822e-18   24
  1.210380e-01   5.697419e-17   2.961779e-09   5.867688e-18   72
  1.241824e-01   5.548338e-17   0.000000e+00   6.759858e-18   24
  1.257251e-01   5.116139e-17   0.000000e+00   3.100937e-18   96
  1.272490e-01   5.977697e-17   0.000000e+00   5.428822e-18   48
  1.287550e-01   6.637704e-17   2.433349e-09   6.565874e-18   24
  1.302436e-01   4.904197e-17   2.433349e-09   7.128108e-18   24
  1.317153e-01   5.258910e-17   0.000000e+00   4.460453e-18   72
  1.331707e-01   5.306132e-17   0.000000e+00   4.873700e-18   48
  1.360350e-01   5.316466e-17   1.490116e-09   9.542444e-18   8
  1.374447e-01   4.294583e-17   1.766064e-09   4.557502e-18   54
  1.388401e-01   4.120132e-17   0.000000e+00   2.842532e-18   84
  1.402216e-01   4.979935e-17   0.000000e+00   3.915124e-18   48
  1.415897e-01   5.755531e-17   1.986821e-09   5.995609e-18   24
  1.429446e-01   4.516065e-17   1.873193e-09   3.155046e-18   72
  1.442869e-01   4.306365e-17   0.000000e+00   3.423968e-18   96
  1.469345e-01   2.620451e-17   0.000000e+00   2.681988e-18   48
  1.482407e-01   3.486875e-17   0.000000e+00   2.746399e-18   48
  1.495354e-01   2.436754e-17   1.986821e-09   3.604861e-18   24
  1.508189e-01   3.815636e-17   0.000000e+00   2.690438e-18   72
  1.533539e-01   3.275621e-17   1.873193e-09   2.615888e-18   72
  1.546058e-01   3.005680e-17   0.000000e+00   2.120865e-18   96
  1.570796e-01   3.554346e-17   0.000000e+00   1.234641e-18   6
  1.583021e-01   3.554545e-17   0.000000e+00   3.011333e-18   96
  1.595151e-01   2.987035e-17   1.986821e-09   2.149663e-18   96
  1.607190e-01   2.493705e-17   0.000000e+00   3.907889e-18   24
  1.619140e-01   2.627069e-17   2.809790e-09   2.198727e-18   48
  1.631002e-01   2.478205e-17   0.000000e+00   2.228546e-18   96
  1.642778e-01   2.930239e-17   0.000000e+00   2.825069e-18   48
  1.666081e-01   2.465413e-17   0.000000e+00   4.412890e-18   36
  1.677611e-01   3.419036e-17   3.441276e-09   3.500853e-18   48
  1.689063e-01   2.774777e-17   3.893359e-09   1.680165e-18   120
  1.700437e-01   2.509970e-17   0.000000e+00   2.602877e-18   56
  1.711736e-01   2.909250e-17   1.986821e-09   2.590180e-18   24
  1.722960e-01   2.179245e-17   0.000000e+00   1.861968e-18   96
  1.734112e-01   1.984671e-17   0.000000e+00   2.076415e-18   48
  1.756204e-01   3.880598e-17   0.000000e+00   6.465923e-18   24
  1.767146e-01   2.367790e-17   0.000000e+00   1.672564e-18   102
  1.778021e-01   2.083672e-17   0.000000e+00   2.198937e-18   48
  1.788829e-01   2.122801e-17   0.000000e+00   1.448857e-18   72
  1.799573e-01   2.453557e-17   0.000000e+00   2.832369e-18   48
  1.810253e-01   2.074773e-17   0.000000e+00   2.217768e-18   48
