# power spectrum of chi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.047049e-01   2.706907e-22   4.350048e-04   2.994250e-23   104
  2.059331e-01   2.365415e-22   3.746387e-09   1.977758e-23   144
  2.087224e-01   2.357819e-22   6.282881e-09   2.438558e-23   96
  2.096439e-01   2.538655e-22   0.000000e+00   2.057342e-23   96
  2.111095e-01   2.111783e-22   4.475232e-04   1.750355e-23   120
  2.123845e-01   1.906073e-22   0.000000e+00   1.559792e-23   120
  2.132902e-01   1.867764e-22   0.000000e+00   2.433165e-23   72
  2.150901e-01   2.555646e-22   0.000000e+00   3.718977e-23   48
  2.159845e-01   1.994380e-22   4.235416e-09   2.083238e-23   78
  2.171286e-01   2.237902e-22   4.007142e-04   1.477269e-23   168
  2.195255e-01   2.026788e-22   3.746387e-09   2.140062e-23   144
  2.204018e-01   1.744233e-22   3.746387e-09   1.416518e-23   144
  2.229436e-01   1.778542e-22   2.307791e-04   1.372388e-23   156
  2.238729e-01   1.332140e-22   4.866699e-09   1.724456e-23   48
  2.247323e-01   1.389362e-22   3.178914e-09   1.401619e-23   120
  2.255884e-01   1.729079e-22   0.000000e+00   2.296685e-23   48
  2.271022e-01   1.749326e-22   3.532495e-04   1.288523e-23   216
  2.289809e-01   2.170136e-22   0.000000e+00   3.805849e-23   48
  2.298212e-01   1.366391e-22   2.809790e-09   1.300295e-23   96
  2.310160e-01   1.526350e-22   4.128272e-04   1.213072e-23   168
  2.323239e-01   1.654737e-22   2.809790e-09   2.085581e-23   48
  2.331522e-01   1.564728e-22   0.000000e+00   1.176029e-23   96
  2.339775e-01   1.040831e-22   0.000000e+00   1.581106e-23   48
  2.356194e-01   1.289513e-22   3.178914e-09   2.069921e-23   30
  2.364362e-01   1.395511e-22   2.809790e-09   1.463522e-23   96
  2.374123e-01   1.308266e-22   3.244455e-04   8.005156e-24   240
  2.386674e-01   1.194826e-22   3.500299e-04   1.381675e-23   32
  2.396752e-01   9.900565e-23   0.000000e+00   7.972087e-24   168
  2.404781e-01   9.325884e-23   0.000000e+00   7.395920e-24   120
  2.420760e-01   1.036964e-22   5.923557e-09   9.233845e-24   72
  2.428710e-01   8.789368e-23   3.746387e-09   6.488013e-24   144
  2.436634e-01   9.709687e-23   0.000000e+00   1.129647e-23   96
  2.444532e-01   1.254774e-22   0.000000e+00   1.124097e-23   96
  2.460253e-01   1.185045e-22   4.588368e-09   1.408293e-23   72
  2.468075e-01   9.050431e-23   3.973643e-09   9.742034e-24   96
  2.483647e-01   1.531058e-22   0.000000e+00   3.785683e-23   24
  2.491396e-01   1.008650e-22   0.000000e+00   7.622950e-24   192
  2.500522e-01   8.547891e-23   2.970416e-04   8.828581e-24   132
  2.514501e-01   7.708831e-23   0.000000e+00   6.971705e-24   96
