# power spectrum of chi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   3.442821e-20   0.000000e+00   1.115572e-20   6
  2.776802e-02   4.874134e-20   0.000000e+00   1.374519e-20   12
  3.400874e-02   3.318876e-20   3.725290e-10   6.416060e-21   8
  3.926991e-02   1.922574e-20   0.000000e+00   6.902676e-21   6
  4.390509e-02   2.655640e-20   0.000000e+00   6.154375e-21   24
  4.809562e-02   2.296536e-20   7.024475e-10   3.148717e-21   24
  5.553604e-02   1.006834e-20   0.000000e+00   3.704634e-21   12
  5.890486e-02   1.219108e-20   7.947286e-10   1.557165e-21   30
  6.209118e-02   8.814199e-21   0.000000e+00   1.223314e-21   24
  6.512178e-02   5.556006e-21   1.216675e-09   1.444407e-21   24
  6.801748e-02   9.592478e-21   7.450581e-10   8.527103e-22   8
  7.079483e-02   4.850997e-21   9.934107e-10   7.209346e-22   24
  7.346727e-02   4.782439e-21   0.000000e+00   4.091257e-22   48
  7.853982e-02   4.272620e-21   0.000000e+00   2.074046e-22   6
  8.095699e-02   3.936001e-21   1.404895e-09   3.294860e-22   48
  8.330406e-02   2.370772e-21   0.000000e+00   3.683325e-22   36
  8.558678e-02   2.959615e-21   9.934107e-10   6.843926e-22   24
  8.781018e-02   2.954535e-21   0.000000e+00   3.794329e-22   24
  8.997866e-02   2.367520e-21   0.000000e+00   2.781899e-22   48
  9.209610e-02   3.694164e-21   1.404895e-09   5.567949e-22   24
  9.619124e-02   1.822769e-21   1.404895e-09   3.694985e-22   24
  9.817477e-02   1.441267e-21   0.000000e+00   2.949808e-22   30
  1.001190e-01   2.051677e-21   0.000000e+00   1.424284e-22   72
  1.020262e-01   1.051818e-21   1.490116e-09   1.613015e-22   32
  1.057375e-01   1.760753e-21   0.000000e+00   1.917982e-22   72
  1.075451e-01   1.094002e-21   0.000000e+00   1.300190e-22   48
  1.110721e-01   7.193491e-22   0.000000e+00   1.919698e-22   12
  1.127942e-01   9.987680e-22   0.000000e+00   1.631364e-22   48
  1.144905e-01   1.220952e-21   0.000000e+00   1.704728e-22   48
  1.161620e-01   4.819320e-22   1.404895e-09   5.785373e-23   48
  1.178097e-01   1.382167e-21   1.589457e-09   2.225561e-22   30
  1.194348e-01   8.706997e-22   1.404895e-09   2.316986e-22   24
  1.210380e-01   8.077682e-22   2.961779e-09   7.566916e-23   72
  1.241824e-01   7.006946e-22   0.000000e+00   9.200280e-23   24
  1.257251e-01   6.766704e-22   0.000000e+00   5.793726e-23   96
  1.272490e-01   7.246986e-22   0.000000e+00   7.628569e-23   48
  1.287550e-01   1.142540e-21   2.433349e-09   1.359242e-22   24
  1.302436e-01   7.540711e-22   2.433349e-09   1.002618e-22   24
  1.317153e-01   7.175129e-22   0.000000e+00   7.215182e-23   72
  1.331707e-01   7.333361e-22   0.000000e+00   1.184443e-22   48
  1.360350e-01   4.717140e-22   1.490116e-09   1.511702e-22   8
  1.374447e-01   5.323982e-22   1.766064e-09   7.036266e-23   54
  1.388401e-01   5.869910e-22   0.000000e+00   5.959153e-23   84
  1.402216e-01   4.409808e-22   0.000000e+00   4.394590e-23   48
  1.415897e-01   4.833712e-22   1.986821e-09   9.038091e-23   24
  1.429446e-01   4.752854e-22   1.873193e-09   4.349849e-23   72
  1.442869e-01   4.844748e-22   0.000000e+00   4.162636e-23   96
  1.469345e-01   4.935008e-22   0.000000e+00   4.884893e-23   48
  1.482407e-01   3.308641e-22   0.000000e+00   4.700762e-23   48
  1.495354e-01   5.641407e-22   1.986821e-09   1.042328e-22   24
  1.508189e-01   3.272227e-22   0.000000e+00   3.754272e-23   72
  1.533539e-01   4.623944e-22   1.873193e-09   5.320548e-23   72
  1.546058e-01   3.587348e-22   0.000000e+00   3.316021e-23   96
  1.570796e-01   6.532292e-22   0.000000e+00   2.006962e-22   6
  1.583021e-01   2.848283e-22   0.000000e+00   2.561380e-23   96
  1.595151e-01   3.452590e-22   1.986821e-09   3.562183e-23   96
  1.607190e-01   4.481700e-22   0.000000e+00   5.570378e-23   24
  1.619140e-01   3.402838e-22   2.809790e-09   4.741667e-23   48
  1.631002e-01   3.886263e-22   0.000000e+00   3.164321e-23   96
  1.642778e-01   2.699739e-22   0.000000e+00   2.358591e-23   48
  1.666081e-01   3.481419e-22   0.000000e+00   5.158867e-23   36
  1.677611e-01   2.272411e-22   3.441276e-09   2.855965e-23   48
  1.689063e-01   2.369447e-22   3.893359e-09   1.927578e-23   120
  1.700437e-01   2.195963e-22   0.000000e+00   3.081186e-23   56
  1.711736e-01   2.337858e-22   1.986821e-09   5.877286e-23   24
  1.722960e-01   2.436546e-22   0.000000e+00   2.599749e-23   96
  1.734112e-01   2.030805e-22   0.000000e+00   2.566621e-23   48
  1.756204e-01   1.652937e-22   0.000000e+00   2.235590e-23   24
  1.767146e-01   2.089823e-22   0.000000e+00   1.925278e-23   102
  1.778021e-01   1.782242e-22   0.000000e+00   2.413296e-23   48
  1.788829e-01   2.407595e-22   0.000000e+00   2.229433e-23   72
  1.799573e-01   2.332939e-22   0.000000e+00   3.070096e-23   48
  1.810253e-01   1.810793e-22   0.000000e+00   2.191787e-23   48
  1.820871e-01   1.959453e-22   4.495664e-09   2.053523e-23   120
  1.841922e-01   2.328226e-22   2.809790e-09   2.890563e-23   24
  1.852358e-01   2.025525e-22   2.649095e-09   1.749260e-23   144
  1.862735e-01   1.718809e-22   3.178914e-09   1.498788e-23   120
  1.873055e-01   1.105629e-22   2.809790e-09   1.033434e-23   48
  1.893526e-01   1.447764e-22   2.809790e-09   1.731263e-23   48
  1.903679e-01   1.046486e-22   2.809790e-09   1.168154e-23   96
  1.930487e-01   1.168873e-22   4.711199e-04   1.204749e-23   72
  1.943761e-01   1.563391e-22   3.532127e-09   1.228699e-23   108
  1.953653e-01   1.498721e-22   0.000000e+00   1.396551e-23   72
  1.963495e-01   1.049554e-22   0.000000e+00   1.579926e-23   30
  1.973288e-01   1.521787e-22   0.000000e+00   1.206058e-23   168
  1.983033e-01   1.620145e-22   0.000000e+00   1.809197e-23   48
  2.002380e-01   1.266730e-22   0.000000e+00   1.541129e-23   72
  2.011984e-01   1.376771e-22   0.000000e+00   1.378597e-23   96
  2.021542e-01   1.774757e-22   5.298191e-09   1.730182e-23   72
