# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.440106e-19   0.000000e+00   4.358832e-20   6
  2.776802e-02   1.005716e-19   0.000000e+00   9.279450e-21   12
  3.400874e-02   4.491736e-20   3.725290e-10   4.030526e-21   8
  3.926991e-02   4.328140e-20   0.000000e+00   3.690906e-21   6
  4.390509e-02   3.548093e-20   0.000000e+00   3.598505e-21   24
  4.809562e-02   1.632460e-20   7.024475e-10   2.649083e-21   24
  5.553604e-02   1.606879e-20   0.000000e+00   1.744787e-21   12
  5.890486e-02   6.753893e-21   7.947286e-10   6.596796e-22   30
  6.209118e-02   8.314669e-21   0.000000e+00   1.254855e-21   24
  6.512178e-02   9.123099e-21   1.216675e-09   1.400979e-21   24
  6.801748e-02   6.107077e-21   7.450581e-10   7.537824e-22   8
  7.079483e-02   4.697320e-21   9.934107e-10   5.172874e-22   24
  7.346727e-02   4.186593e-21   0.000000e+00   3.784489e-22   48
  7.853982e-02   4.966013e-21   0.000000e+00   4.641380e-22   6
  8.095699e-02   2.546935e-21   1.404895e-09   2.840622e-22   48
  8.330406e-02   3.067515e-21   0.000000e+00   3.250637e-22   36
  8.558678e-02   2.405096e-21   9.934107e-10   3.606565e-22   24
  8.781018e-02   2.591051e-21   0.000000e+00   4.397730e-22   24
  8.997866e-02   1.922104e-21   0.000000e+00   1.850480e-22   48
  9.209610e-02   2.065613e-21   1.404895e-09   2.328461e-22   24
  9.619124e-02   1.472756e-21   1.404895e-09   1.673476e-22   24
  9.817477e-02   1.780196e-21   0.000000e+00   2.840346e-22   30
  1.001190e-01   1.202910e-21   0.000000e+00   7.464737e-23   72
  1.020262e-01   9.629940e-22   1.490116e-09   9.078791e-23   32
  1.057375e-01   1.045214e-21   0.000000e+00   8.421622e-23   72
  1.075451e-01   9.321994e-22   0.000000e+00   8.637551e-23   48
  1.110721e-01   1.091263e-21   0.000000e+00   2.162658e-22   12
  1.127942e-01   7.834438e-22   0.000000e+00   6.502925e-23   48
  1.144905e-01   7.963697e-22   0.000000e+00   6.540100e-23   48
  1.161620e-01   6.838884e-22   1.404895e-09   6.572389e-23   48
  1.178097e-01   7.160440e-22   1.589457e-09   8.815158e-23   30
  1.194348e-01   5.297523e-22   1.404895e-09   6.742564e-23   24
  1.210380e-01   6.098687e-22   2.961779e-09   4.356523e-23   72
  1.241824e-01   5.122808e-22   0.000000e+00   6.703915e-23   24
  1.257251e-01   4.704517e-22   0.000000e+00   2.354628e-23   96
  1.272490e-01   5.123439e-22   0.000000e+00   4.362246e-23   48
  1.287550e-01   5.359046e-22   2.433349e-09   5.989754e-23   24
  1.302436e-01   5.126842e-22   2.433349e-09   7.273791e-23   24
  1.317153e-01   3.746689e-22   0.000000e+00   2.764228e-23   72
  1.331707e-01   4.514514e-22   0.000000e+00   3.855446e-23   48
  1.360350e-01   3.939197e-22   1.490116e-09   4.982785e-23   8
  1.374447e-01   3.324364e-22   1.766064e-09   3.301038e-23   54
  1.388401e-01   2.905714e-22   0.000000e+00   1.700358e-23   84
  1.402216e-01   3.024688e-22   0.000000e+00   2.924679e-23   48
  1.415897e-01   3.424453e-22   1.986821e-09   3.769019e-23   24
  1.429446e-01   2.939204e-22   1.873193e-09   2.380374e-23   72
  1.442869e-01   3.033999e-22   0.000000e+00   2.720896e-23   96
  1.469345e-01   2.247952e-22   0.000000e+00   2.666329e-23   48
  1.482407e-01   2.455904e-22   0.000000e+00   2.219272e-23   48
  1.495354e-01   2.337002e-22   1.986821e-09   2.092405e-23   24
  1.508189e-01   2.204443e-22   0.000000e+00   1.795871e-23   72
  1.533539e-01   1.954039e-22   1.873193e-09   1.399256e-23   72
  1.546058e-01   1.995419e-22   0.000000e+00   1.464629e-23   96
  1.570796e-01   2.285659e-22   0.000000e+00   3.269021e-23   6
  1.583021e-01   2.222072e-22   0.000000e+00   1.406008e-23   96
  1.595151e-01   2.065164e-22   1.986821e-09   1.266011e-23   96
  1.607190e-01   1.924496e-22   0.000000e+00   2.524326e-23   24
  1.619140e-01   1.977732e-22   2.809790e-09   1.789770e-23   48
  1.631002e-01   1.697850e-22   0.000000e+00   1.143817e-23   96
  1.642778e-01   1.372088e-22   0.000000e+00   1.082177e-23   48
  1.666081e-01   1.804596e-22   0.000000e+00   1.832523e-23   36
  1.677611e-01   1.079933e-22   3.441276e-09   1.027966e-23   48
  1.689063e-01   1.461338e-22   3.893359e-09   9.572390e-24   120
  1.700437e-01   1.290010e-22   0.000000e+00   8.309967e-24   56
  1.711736e-01   1.345718e-22   1.986821e-09   1.824899e-23   24
  1.722960e-01   1.260260e-22   0.000000e+00   9.581393e-24   96
  1.734112e-01   1.490454e-22   0.000000e+00   1.294697e-23   48
  1.756204e-01   1.174322e-22   0.000000e+00   1.746861e-23   24
  1.767146e-01   1.223631e-22   0.000000e+00   7.544954e-24   102
  1.778021e-01   1.200356e-22   0.000000e+00   1.354263e-23   48
  1.788829e-01   1.175217e-22   0.000000e+00   8.600180e-24   72
  1.799573e-01   1.243961e-22   0.000000e+00   1.160338e-23   48
