# power spectrum of phi
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.615772e-02   1.972844e-10   2.845059e-05   1.177251e-11   336
  1.631123e-02   1.716365e-10   2.177217e-05   1.675151e-11   72
  1.641475e-02   2.076487e-10   3.482167e-05   1.073720e-11   288
  1.653492e-02   1.644885e-10   2.267827e-05   8.927619e-12   264
  1.670276e-02   1.686216e-10   2.982752e-05   8.122123e-12   384
  1.685310e-02   1.884318e-10   3.580078e-05   9.700179e-12   240
  1.691557e-02   1.837886e-10   0.000000e+00   2.189024e-11   48
  1.709627e-02   1.683235e-10   2.930528e-05   7.832369e-12   392
  1.723414e-02   1.775759e-10   3.216108e-05   8.869967e-12   294
  1.738238e-02   1.542668e-10   2.090302e-05   9.177853e-12   228
  1.747988e-02   1.926361e-10   3.174430e-05   1.478999e-11   216
  1.760118e-02   1.684360e-10   1.933643e-05   9.601410e-12   336
  1.774967e-02   1.639734e-10   2.297485e-05   8.147927e-12   360
  1.787226e-02   1.615725e-10   3.500383e-05   1.053795e-11   240
  1.799999e-02   1.787168e-10   4.141755e-05   1.382379e-11   168
  1.811913e-02   1.523998e-10   3.260065e-05   8.499504e-12   312
  1.826108e-02   1.843752e-10   2.040262e-05   9.473838e-12   336
  1.841443e-02   1.565092e-10   2.783296e-05   7.505471e-12   294
  1.853004e-02   1.659951e-10   3.709565e-05   8.735213e-12   288
  1.861852e-02   1.313558e-10   2.321198e-05   6.736534e-12   264
  1.877628e-02   1.585032e-10   3.987223e-05   6.831609e-12   480
  1.890819e-02   1.449055e-10   1.950536e-05   8.310035e-12   240
  1.906991e-02   1.432410e-10   1.972335e-05   7.085140e-12   276
  1.919750e-02   1.521359e-10   4.329664e-05   7.138341e-12   488
  1.934908e-02   1.549705e-10   1.906876e-05   9.571519e-12   240
  1.943706e-02   1.471194e-10   3.702663e-05   7.759699e-12   360
  1.956043e-02   1.481074e-10   1.317352e-05   8.837879e-12   198
  1.971909e-02   1.523681e-10   4.451384e-05   6.333897e-12   480
  1.983526e-02   1.356477e-10   1.643028e-05   7.218470e-12   288
  1.999593e-02   1.273899e-10   3.472986e-05   5.716193e-12   480
  2.014040e-02   1.398046e-10   2.139799e-05   5.918818e-12   480
  2.028877e-02   1.446397e-10   2.767474e-05   8.906470e-12   288
  2.038134e-02   1.191542e-10   2.952385e-05   7.290833e-12   288
  2.052694e-02   1.362071e-10   5.132727e-05   6.434569e-12   456
  2.067354e-02   1.308129e-10   4.833832e-05   6.680266e-12   360
  2.076806e-02   1.346759e-10   2.897541e-05   1.033832e-11   180
  2.090485e-02   1.480781e-10   3.155776e-05   6.305817e-12   486
  2.104350e-02   1.279709e-10   4.198197e-05   5.194344e-12   504
  2.118447e-02   1.246144e-10   3.261787e-05   5.948543e-12   456
  2.130135e-02   1.370219e-10   2.709969e-05   7.282239e-12   296
  2.145578e-02   1.233292e-10   2.674110e-05   5.189413e-12   528
  2.157192e-02   1.384033e-10   2.638653e-05   6.799089e-12   336
  2.174298e-02   1.194472e-10   2.926761e-05   4.735589e-12   600
  2.186818e-02   1.172899e-10   1.714653e-05   7.088423e-12   264
  2.199366e-02   1.103283e-10   1.854193e-05   6.652575e-12   360
  2.212173e-02   1.217708e-10   3.712277e-05   4.862913e-12   630
  2.226286e-02   1.106301e-10   1.916243e-05   5.628319e-12   432
